Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);ZONE ONE LIGHTS:Lights Electric Energy [J](Hourly);ZONE ONE:Zone Air Temperature [C](Hourly);RADIATOR:Baseboard Total Heating Rate [W](Hourly);RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly);RADIATOR:Baseboard Water Inlet Temperature [C](Hourly);RADIATOR:Baseboard Water Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Rate [W](Hourly);DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly);DistrictHeating:Facility [J](Hourly) 
 01/05  02:00:00;-6.358333333;180000;20.09256535;1115.420431;0.013550864;55;24.30418773;1754.342733;24.02335317;55;0.013550864;6315633.84
 01/05  03:00:00;-6.458333333;180000;20.09222567;1117.706474;0.013579344;55;24.30705738;1754.790057;24.08025316;55;0.013579344;6317244.205
 01/05  04:00:00;-6.558333333;180000;20.09254648;1121.744636;0.013630608;55;24.31377064;1758.598747;24.12952851;55;0.013630608;6330955.488
 01/05  05:00:00;-6.483333333;180000;20.09321304;1126.02646;0.013684721;55;24.32100477;1763.101652;24.1727579;55;0.013684721;6347165.949
 01/05  06:00:00;-6.341666667;360000;20.08976142;1082.099483;0.013120813;55;24.24857889;1688.745921;24.20371945;55;0.013120813;6079485.316
 01/05  07:00:00;-6.183333333;360000;20.08968625;1081.23552;0.013106573;55;24.24672137;1685.772314;24.22450484;55;0.013106573;6068780.329
 01/05  08:00:00;-5.925;1080000;20.07550477;902.3247363;0.01081392;55;23.92935898;1391.086283;24.22025379;55;0.01081392;5007910.618
 01/05  09:00:00;-5.683333333;3240000;20.03400439;400.3844928;0.004613787;55;22.75749595;594.4704639;24.17247128;55;0.004613787;2140093.67
 01/05  10:00:00;-5.425;3240000;20.03595546;408.2388199;0.004692108;55;22.77595994;605.9026627;24.1012983;55;0.004692108;2181249.586
 01/05  11:00:00;-5.066666667;3240000;20.02696144;304.4658477;0.003466036;55;22.44721093;448.5207879;24.03555676;55;0.003466036;1614674.836
 01/05  12:00:00;-4.608333333;3240000;20.01996222;228.6511017;0.002582439;55;22.17355245;334.8076167;23.97860633;55;0.002582439;1205307.42
 01/05  13:00:00;-4.166666667;3240000;20.01569828;183.8585434;0.00206766;55;21.99192723;268.4941538;23.92925705;55;0.00206766;966578.9537
 01/05  14:00:00;-4.233333333;3240000;20.01436507;169.6918781;0.001904611;55;21.92970255;247.6780747;23.88622179;55;0.001904611;891641.0689
 01/05  15:00:00;-4.691666667;3240000;20.02519159;297.6848486;0.00339626;55;22.41660128;442.3556679;23.83889556;55;0.00339626;1592480.404
 01/05  16:00:00;-5.133333333;3240000;20.03644148;418.0186962;0.004811724;55;22.80332029;627.7408815;23.78612717;55;0.004811724;2259867.173
 01/05  17:00:00;-5.475;3240000;20.04023378;457.7410497;0.005283071;55;22.91685678;690.2929457;23.7378027;55;0.005283071;2485054.604
 01/05  18:00:00;-5.716666667;1800000;20.07166781;813.8795295;0.009654777;55;23.74731738;1262.067322;23.7238564;55;0.009654777;4543442.36
 01/05  19:00:00;-5.975;1080000;20.08210666;957.1914594;0.011483204;55;24.02536212;1499.527814;23.75612923;55;0.011483204;5398300.131
 01/05  20:00:00;-5.75;1080000;20.07850317;930.0913913;0.011152834;55;23.97835863;1454.361343;23.7993348;55;0.011152834;5235700.835
 01/05  21:00:00;-5.091666667;720000;20.08335932;990.4766167;0.011927494;55;24.08766867;1553.191415;23.84324466;55;0.011927494;5591489.094
 01/05  22:00:00;-4.45;720000;20.07976681;954.1387668;0.01147466;55;24.02415081;1492.279081;23.88355589;55;0.01147466;5372204.692
 01/05  23:00:00;-3.85;360000;20.08341544;1005.685663;0.012141095;55;24.11616208;1577.014437;23.92163738;55;0.012141095;5677251.975
 01/05  24:00:00;-3.308333333;180000;20.08320622;1011.718588;0.012232232;55;24.12865355;1586.775422;23.96209565;55;0.012232232;5712391.518
 01/06  01:00:00;-2.75;180000;20.08042339;982.584173;0.011867686;55;24.0779404;1537.901374;23.99388128;55;0.011867686;5536444.948
 01/06  02:00:00;-2.033333333;180000;20.07695254;949.7569043;0.011454723;55;24.01896062;1483.429104;24.01380445;55;0.011454723;5340344.774
 01/06  03:00:00;-1.175;180000;20.07347227;913.9297788;0.011004737;55;23.95327102;1424.744149;24.02266552;55;0.011004737;5129078.937
 01/06  04:00:00;-0.333333333;180000;20.07010736;870.3396961;0.010457918;55;23.87168825;1354.009141;24.02125925;55;0.010457918;4874432.909
 01/06  05:00:00;0.116666667;180000;20.06718739;838.792316;0.010062043;55;23.81019651;1303.181146;24.0111462;55;0.010062043;4691452.126
 01/06  06:00:00;0.375;360000;20.06274599;779.5727576;0.009315863;55;23.69154315;1207.245343;23.99309758;55;0.009315863;4346083.234
 01/06  07:00:00;0.616666667;360000;20.06267903;771.9769324;0.00921903;55;23.67562917;1195.557781;23.97080432;55;0.00921903;4304008.01
 01/06  08:00:00;0.583333333;1080000;20.04842029;597.7591446;0.007043145;55;23.28799151;914.4213979;23.93592534;55;0.007043145;3291917.033
 01/06  09:00:00;0.441666667;3240000;20.00847871;113.4629624;0.001270927;55;21.65670333;165.2106147;23.90064207;55;0.001270927;594758.213
 01/06  10:00:00;0.283333333;3240000;20.01378863;158.1003981;0.001770754;55;21.8787922;230.4431358;23.8617601;55;0.001770754;829595.2888
 01/06  11:00:00;0.2;3240000;20.00897384;102.0102732;0.001130663;55;21.60548478;147.3049323;23.82696535;55;0.001130663;530297.7564
 01/06  12:00:00;0.258333333;3240000;20.00710976;83.12467555;0.000919197;55;21.50514916;119.8579698;23.80138612;55;0.000919197;431488.6913
 01/06  13:00:00;0.3;3240000;20.00757704;92.52683611;0.001025286;55;21.55595373;133.7998763;23.77643969;55;0.001025286;481679.5547
 01/06  14:00:00;0.183333333;3240000;20.01010355;120.7727918;0.001345688;55;21.70098978;175.7756127;23.74801171;55;0.001345688;632792.2058
 01/06  15:00:00;-0.075;3240000;20.01434454;168.3622657;0.001888947;55;21.92291685;247.0138476;23.71310043;55;0.001888947;889249.8512
 01/06  16:00:00;-0.316666667;3240000;20.01800019;208.3610524;0.002348902;55;22.09262833;307.5537082;23.67273162;55;0.002348902;1107193.349
 01/06  17:00:00;-0.691666667;3240000;20.02011064;231.3943273;0.002614479;55;22.18343775;342.7879629;23.63060912;55;0.002614479;1234036.667
 01/06  18:00:00;-1.191666667;1800000;20.05183797;596.2516494;0.006980489;55;23.27279867;916.0885684;23.60044088;55;0.006980489;3297918.846
 01/06  19:00:00;-1.691666667;1080000;20.06376716;751.568522;0.008919989;55;23.6264848;1170.733684;23.59762398;55;0.008919989;4214641.262
 01/06  20:00:00;-1.608333333;1080000;20.06186013;737.2536079;0.008751956;55;23.59948345;1148.271345;23.6087194;55;0.008751956;4133776.844
 01/06  21:00:00;-1.05;720000;20.06712435;804.1870689;0.009594968;55;23.73800519;1258.177682;23.62617927;55;0.009594968;4529439.656
 01/06  22:00:00;-0.508333333;720000;20.06387039;770.8634439;0.009184854;55;23.67156051;1203.685859;23.64465271;55;0.009184854;4333269.091
 01/06  23:00:00;-0.475;360000;20.06864817;839.2444986;0.010050651;55;23.80869564;1316.246341;23.66612685;55;0.010050651;4738486.827
 01/06  24:00:00;-0.833333333;180000;20.07103287;874.5443482;0.010506334;55;23.87858;1374.527306;23.69775992;55;0.010506334;4948298.303
 01/07  01:00:00;-1.175;180000;20.07076766;876.3896319;0.010531966;55;23.88256963;1376.422691;23.73074586;55;0.010531966;4955121.689
 01/07  02:00:00;-1.241666667;180000;20.07183864;882.9815205;0.010614558;55;23.89534262;1385.860197;23.76124035;55;0.010614558;4989096.709
 01/07  03:00:00;-1.141666667;180000;20.07165735;883.4488817;0.010620255;55;23.89640418;1385.363638;23.78911617;55;0.010620255;4987309.096
 01/07  04:00:00;-1.041666667;180000;20.07164771;881.6025681;0.01059747;55;23.89258165;1381.315447;23.81333984;55;0.01059747;4972735.61
 01/07  05:00:00;-0.825;180000;20.07033333;875.2603327;0.010517726;55;23.88045388;1370.0236;23.83370619;55;0.010517726;4932084.96
 01/07  06:00:00;-0.583333333;180000;20.07015969;866.97694;0.010415197;55;23.86494919;1355.967721;23.84975195;55;0.010415197;4881483.795
 01/07  07:00:00;-0.325;360000;20.06601256;814.64128;0.009751609;55;23.76239466;1269.291403;23.85666301;55;0.009751609;4569449.05
 01/07  08:00:00;-0.375;360000;20.06672612;818.7254894;0.009800026;55;23.76971464;1275.572203;23.85717711;55;0.009800026;4592059.931
 01/07  09:00:00;-0.733333333;1080000;20.05418664;665.1633856;0.007870494;55;23.44360114;1024.906938;23.84277326;55;0.007870494;3689664.979
 01/07  10:00:00;-1.075;1080000;20.05763357;690.5011551;0.008173808;55;23.49820921;1065.23208;23.81840863;55;0.008173808;3834835.49
 01/07  11:00:00;-0.791666667;1080000;20.05589712;671.7987654;0.007944543;55;23.45748576;1036.080013;23.79648951;55;0.007944543;3729888.048
 01/07  12:00:00;-0.033333333;1080000;20.05235479;632.9673109;0.0074675;55;23.36895181;974.6555107;23.77126737;55;0.0074675;3508759.839
 01/07  13:00:00;0.708333333;540000;20.06064467;733.9555587;0.008729171;55;23.59326726;1139.934951;23.75478682;55;0.008729171;4103765.825
 01/07  14:00:00;0.941666667;540000;20.05767411;708.7101902;0.008424434;55;23.54126021;1100.47983;23.7451887;55;0.008424434;3961727.389
 01/07  15:00:00;0.841666667;540000;20.05866988;718.5110762;0.008546898;55;23.56209705;1116.821395;23.73560286;55;0.008546898;4020557.022
