,OUT||Base8||Tout,OUT||Base8||mdot
2000-01-01 01:00:00,75.0,0.0
2000-01-01 02:00:00,75.0,0.0
2000-01-01 03:00:00,75.0,0.0
2000-01-01 04:00:00,75.0,0.0
2000-01-01 05:00:00,75.0,0.0
2000-01-01 06:00:00,75.0,435.3949606434487
2000-01-01 07:00:00,75.0,430.56258930772447
2000-01-01 08:00:00,75.0,429.5333745791326
2000-01-01 09:00:00,75.0,410.2311790537718
2000-01-01 10:00:00,75.0,426.4818041299927
2000-01-01 11:00:00,75.0,413.85452737928455
2000-01-01 12:00:00,75.0,431.5124580786309
2000-01-01 13:00:00,0.0,0.0
2000-01-01 14:00:00,75.0,167.95460559003575
2000-01-01 15:00:00,75.0,287.1389104864575
2000-01-01 16:00:00,75.0,452.65191233728456
2000-01-01 17:00:00,75.0,428.24796372276387
2000-01-01 18:00:00,75.0,0.0
2000-01-01 19:00:00,75.0,0.0
2000-01-01 20:00:00,75.0,0.0
2000-01-01 21:00:00,75.0,0.0
2000-01-01 22:00:00,75.0,0.0
2000-01-01 23:00:00,75.0,0.0
2000-01-02 00:00:00,75.0,0.0
2000-01-02 01:00:00,75.0,0.0
2000-01-02 02:00:00,75.0,0.0
2000-01-02 03:00:00,75.0,0.0
2000-01-02 04:00:00,75.0,0.0
2000-01-02 05:00:00,75.0,0.0
2000-01-02 06:00:00,75.0,507.0
2000-01-02 07:00:00,75.0,507.0
2000-01-02 08:00:00,75.0,317.1350705207342
2000-01-02 09:00:00,75.0,507.0
2000-01-02 10:00:00,75.0,489.76074312647256
2000-01-02 11:00:00,75.0,454.9729736213218
2000-01-02 12:00:00,75.0,434.921465304139
2000-01-02 13:00:00,75.0,430.1901119709739
2000-01-02 14:00:00,75.0,443.20565229809625
2000-01-02 15:00:00,75.0,457.83298021160476
2000-01-02 16:00:00,75.0,476.6101472140645
2000-01-02 17:00:00,75.0,472.79837517500766
2000-01-02 18:00:00,75.0,429.5789304322661
2000-01-02 19:00:00,75.0,235.52973323301728
2000-01-02 20:00:00,75.0,216.83493033700148
2000-01-02 21:00:00,75.0,0.0
2000-01-02 22:00:00,75.0,0.0
2000-01-02 23:00:00,75.0,0.0
2000-01-03 00:00:00,75.0,0.0
2000-01-03 01:00:00,75.0,0.0
2000-01-03 02:00:00,75.0,0.0
2000-01-03 03:00:00,75.0,0.0
2000-01-03 04:00:00,75.0,0.0
2000-01-03 05:00:00,75.0,0.0
2000-01-03 06:00:00,75.0,507.0
2000-01-03 07:00:00,75.0,507.0
2000-01-03 08:00:00,75.0,507.0
2000-01-03 09:00:00,75.0,507.0
2000-01-03 10:00:00,75.0,507.0
2000-01-03 11:00:00,75.0,443.4519178964856
2000-01-03 12:00:00,75.0,430.8919856956409
2000-01-03 13:00:00,75.0,415.38696779102725
2000-01-03 14:00:00,75.0,445.4510975179127
2000-01-03 15:00:00,75.0,451.3284358654341
2000-01-03 16:00:00,75.0,475.3793690169425
2000-01-03 17:00:00,75.0,482.6032354888604
2000-01-03 18:00:00,75.0,429.98742343329457
2000-01-03 19:00:00,75.0,241.15382111645175
2000-01-03 20:00:00,75.0,221.9845814006492
2000-01-03 21:00:00,75.0,0.0
2000-01-03 22:00:00,75.0,0.0
2000-01-03 23:00:00,75.0,0.0
2000-01-04 00:00:00,75.0,0.0
2000-01-04 01:00:00,75.0,0.0
2000-01-04 02:00:00,75.0,0.0
2000-01-04 03:00:00,75.0,0.0
2000-01-04 04:00:00,75.0,0.0
2000-01-04 05:00:00,75.0,0.0
2000-01-04 06:00:00,75.0,507.0
2000-01-04 07:00:00,75.0,507.0
2000-01-04 08:00:00,75.0,507.0
2000-01-04 09:00:00,75.0,507.0
2000-01-04 10:00:00,75.0,507.0
2000-01-04 11:00:00,75.0,473.00868535306336
2000-01-04 12:00:00,75.0,497.37627210902093
2000-01-04 13:00:00,75.0,504.6857647836959
2000-01-04 14:00:00,75.0,507.0
2000-01-04 15:00:00,75.0,507.0
2000-01-04 16:00:00,75.0,507.0
2000-01-04 17:00:00,75.0,507.0
2000-01-04 18:00:00,75.0,507.0
2000-01-04 19:00:00,75.0,224.55083269599623
2000-01-04 20:00:00,75.0,263.15313377429396
2000-01-04 21:00:00,75.0,0.0
2000-01-04 22:00:00,75.0,0.0
2000-01-04 23:00:00,75.0,0.0
2000-01-05 00:00:00,75.0,0.0
2000-01-05 01:00:00,75.0,0.0
2000-01-05 02:00:00,75.0,0.0
2000-01-05 03:00:00,75.0,0.0
2000-01-05 04:00:00,75.0,0.0
2000-01-05 05:00:00,75.0,0.0
2000-01-05 06:00:00,75.0,507.0
2000-01-05 07:00:00,75.0,507.0
2000-01-05 08:00:00,75.0,507.0
2000-01-05 09:00:00,75.0,507.0
2000-01-05 10:00:00,75.0,507.0
2000-01-05 11:00:00,75.0,507.0
2000-01-05 12:00:00,75.0,507.0
2000-01-05 13:00:00,75.0,507.0
2000-01-05 14:00:00,75.0,507.0
2000-01-05 15:00:00,75.0,507.0
2000-01-05 16:00:00,75.0,507.0
2000-01-05 17:00:00,75.0,507.0
2000-01-05 18:00:00,75.0,507.0
2000-01-05 19:00:00,75.0,279.1544130239059
2000-01-05 20:00:00,75.0,282.11044306296907
2000-01-05 21:00:00,75.0,0.0
2000-01-05 22:00:00,75.0,0.0
2000-01-05 23:00:00,75.0,0.0
2000-01-06 00:00:00,75.0,0.0
2000-01-06 01:00:00,75.0,0.0
2000-01-06 02:00:00,75.0,0.0
2000-01-06 03:00:00,75.0,0.0
2000-01-06 04:00:00,75.0,0.0
2000-01-06 05:00:00,75.0,0.0
2000-01-06 06:00:00,75.0,505.8133544046039
2000-01-06 07:00:00,75.0,507.0
2000-01-06 08:00:00,75.0,507.0
2000-01-06 09:00:00,75.0,507.0
2000-01-06 10:00:00,75.0,507.0
2000-01-06 11:00:00,75.0,444.68502218405683
2000-01-06 12:00:00,75.0,448.76532172092436
2000-01-06 13:00:00,75.0,443.2787038310514
2000-01-06 14:00:00,75.0,479.3415622399835
2000-01-06 15:00:00,75.0,507.0
2000-01-06 16:00:00,75.0,507.0
2000-01-06 17:00:00,75.0,507.0
2000-01-06 18:00:00,75.0,439.57809537790513
2000-01-06 19:00:00,75.0,233.6410021518541
2000-01-06 20:00:00,75.0,212.7389460973208
2000-01-06 21:00:00,75.0,0.0
2000-01-06 22:00:00,75.0,0.0
2000-01-06 23:00:00,75.0,0.0
2000-01-07 00:00:00,75.0,0.0
2000-01-07 01:00:00,75.0,0.0
2000-01-07 02:00:00,75.0,0.0
2000-01-07 03:00:00,75.0,0.0
2000-01-07 04:00:00,75.0,0.0
2000-01-07 05:00:00,75.0,0.0
2000-01-07 06:00:00,75.0,500.2450067363473
2000-01-07 07:00:00,75.0,507.0
2000-01-07 08:00:00,75.0,507.0
2000-01-07 09:00:00,75.0,261.9973574517605
2000-01-07 10:00:00,75.0,281.7551727851525
2000-01-07 11:00:00,75.0,507.0
2000-01-07 12:00:00,75.0,489.44470621912285
2000-01-07 13:00:00,75.0,431.33869416591483
2000-01-07 14:00:00,75.0,452.54870835630516
2000-01-07 15:00:00,75.0,473.57561447975706
2000-01-07 16:00:00,75.0,501.1526548668142
2000-01-07 17:00:00,75.0,284.2555111798348
2000-01-07 18:00:00,75.0,213.35767412906407
2000-01-07 19:00:00,75.0,282.7193301504911
2000-01-07 20:00:00,75.0,219.78773040171657
2000-01-07 21:00:00,75.0,0.0
