,QDHtot_kW,Tindoor0_Cdeg,Tindoor1_Cdeg,QDHapt0_W,QDHapt1_W,Tthermo0_Cdeg,Tthermo1_Cdeg,TsetP_Cdeg,COG_MDOTtoTES_kgs,COG_MDOTfromTES_kgs,COG_MDOTtoLOAD_kgs,HOB_Q_kW,HOB_Flag,HOB_mdotOUT
2000-01-01 01:00:00,0.0,18.26282414077218,18.2247776016904,5.75153043e-316,1.13505578e-315,20.0,20.0,74.8,506.99999999999994,0.0,0.0,0.0,-1.0,0.0
2000-01-01 02:00:00,0.0,18.17281208254691,18.13780775043593,5.75153043e-316,1.13505578e-315,20.0,20.0,72.46000000000001,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 03:00:00,0.0,18.15877956154949,18.12571112224102,5.751532e-316,1.13505689e-315,20.0,20.0,70.84,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 04:00:00,0.0,18.13523077115096,18.1031197750663,5.75153043e-316,1.13505578e-315,20.0,20.0,69.76,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 05:00:00,0.0,18.09629322205519,18.06517981974329,5.75153043e-316,1.13505681e-315,20.0,20.0,69.04,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 06:00:00,28444.84124524302,20.36515183322288,20.44899928688179,762.7155349151254,790.8232146428878,20.0,20.0,68.5,223.33627020149572,0.0,283.66372979850433,0.0,-1.0,0.0
2000-01-01 07:00:00,29540.953180754743,20.41709959075638,20.63344750956524,769.1118631359892,892.7541964457466,20.0,20.0,68.5,212.4059152230771,0.0,294.5940847769229,0.0,-1.0,0.0
2000-01-01 08:00:00,23538.309980026625,20.47923031310442,20.644052509081,514.228686864687,795.449454320141,20.0,20.0,69.94,272.2665682315572,0.0,234.73343176844276,0.0,-1.0,0.0
2000-01-01 09:00:00,32146.90596211652,20.73401983523213,20.68841620945211,965.9387785995102,796.9016959008325,20.0,20.0,71.2,186.41823086515805,0.0,320.581769134842,0.0,-1.0,0.0
2000-01-01 10:00:00,29218.32936963305,20.87205116883941,20.72919938916027,858.808473811207,797.846973711259,20.0,20.0,72.64,215.62316122033403,0.0,291.37683877966606,0.0,-1.0,0.0
2000-01-01 11:00:00,43127.39419891376,20.67201022894838,20.44420066006502,1289.732196555229,1197.959584460361,20.0,20.0,72.64,76.91641790083686,0.0,430.08358209916315,0.0,-1.0,0.0
2000-01-01 12:00:00,44868.590059064845,20.70802460967469,20.50258365878322,1290.528388443875,1198.157504338484,20.0,20.0,72.64,59.552517892223555,0.0,447.44748210777647,0.0,-1.0,0.0
2000-01-01 13:00:00,45362.92295561966,20.79968589459108,20.59868165356966,1286.353549107406,1196.779681198524,20.0,20.0,72.64,54.62283304759221,0.0,452.37716695240783,0.0,-1.0,0.0
2000-01-01 14:00:00,43818.269638080405,20.63526072028515,20.41857846604995,1280.925637780438,1193.354441437629,20.0,20.0,73.72,70.02673222169031,0.0,436.9732677783097,0.0,-1.0,0.0
2000-01-01 15:00:00,43394.7218736347,20.46968672033581,20.23840867390968,1276.266297521448,1190.348357750362,20.0,20.0,74.62,74.25051952034067,0.0,432.7494804796594,0.0,-1.0,0.0
