,OUT||Base8||Tout,OUT||Base8||mdot
2000-01-01 01:00:00,75.0,0.0
2000-01-01 02:00:00,75.0,0.0
2000-01-01 03:00:00,75.0,0.0
2000-01-01 04:00:00,75.0,0.0
2000-01-01 05:00:00,75.0,0.0
2000-01-01 06:00:00,75.0,446.93002434308613
2000-01-01 07:00:00,75.0,449.6957946435313
2000-01-01 08:00:00,75.0,426.30639554023514
2000-01-01 09:00:00,75.0,428.0428608877249
2000-01-01 10:00:00,75.0,0.0
2000-01-01 11:00:00,75.0,207.18332115246744
2000-01-01 12:00:00,75.0,281.0604802412777
2000-01-01 13:00:00,75.0,433.6622941071894
2000-01-01 14:00:00,75.0,507.0
2000-01-01 15:00:00,75.0,423.83118075799365
2000-01-01 16:00:00,75.0,427.6990362131551
2000-01-01 17:00:00,0.0,0.0
2000-01-01 18:00:00,75.0,0.0
2000-01-01 19:00:00,75.0,83.59249796761536
2000-01-01 20:00:00,75.0,205.55561694315784
2000-01-01 21:00:00,75.0,0.0
2000-01-01 22:00:00,75.0,0.0
2000-01-01 23:00:00,75.0,0.0
2000-01-02 00:00:00,75.0,0.0
2000-01-02 01:00:00,75.0,0.0
2000-01-02 02:00:00,75.0,0.0
2000-01-02 03:00:00,75.0,0.0
2000-01-02 04:00:00,75.0,0.0
2000-01-02 05:00:00,75.0,0.0
2000-01-02 06:00:00,75.0,507.0
2000-01-02 07:00:00,75.0,507.0
2000-01-02 08:00:00,75.0,301.95594450396186
2000-01-02 09:00:00,75.0,215.5489040792764
2000-01-02 10:00:00,75.0,435.54077048031223
2000-01-02 11:00:00,75.0,462.7037474133749
2000-01-02 12:00:00,75.0,455.9090665772753
2000-01-02 13:00:00,75.0,455.3664767745627
2000-01-02 14:00:00,75.0,477.53533378529727
2000-01-02 15:00:00,75.0,507.0
2000-01-02 16:00:00,75.0,507.0
2000-01-02 17:00:00,75.0,507.0
2000-01-02 18:00:00,75.0,432.99812705038283
2000-01-02 19:00:00,75.0,263.2984735609471
2000-01-02 20:00:00,75.0,210.50587387108376
2000-01-02 21:00:00,75.0,0.0
2000-01-02 22:00:00,75.0,0.0
2000-01-02 23:00:00,75.0,0.0
2000-01-03 00:00:00,75.0,0.0
2000-01-03 01:00:00,75.0,0.0
2000-01-03 02:00:00,75.0,0.0
2000-01-03 03:00:00,75.0,0.0
2000-01-03 04:00:00,75.0,0.0
2000-01-03 05:00:00,75.0,0.0
2000-01-03 06:00:00,75.0,507.0
2000-01-03 07:00:00,75.0,507.0
2000-01-03 08:00:00,75.0,507.0
2000-01-03 09:00:00,75.0,507.0
2000-01-03 10:00:00,75.0,235.68097468346318
2000-01-03 11:00:00,75.0,308.0312440087751
2000-01-03 12:00:00,75.0,430.8139067024386
2000-01-03 13:00:00,75.0,439.94751312498283
2000-01-03 14:00:00,75.0,480.27183582191464
2000-01-03 15:00:00,75.0,506.6804973836811
2000-01-03 16:00:00,75.0,501.3626037080169
2000-01-03 17:00:00,75.0,507.0
2000-01-03 18:00:00,75.0,440.5302653043241
2000-01-03 19:00:00,75.0,260.2512909359416
2000-01-03 20:00:00,75.0,214.31842790728751
2000-01-03 21:00:00,75.0,0.0
2000-01-03 22:00:00,75.0,0.0
2000-01-03 23:00:00,75.0,0.0
2000-01-04 00:00:00,75.0,0.0
2000-01-04 01:00:00,75.0,0.0
2000-01-04 02:00:00,75.0,0.0
2000-01-04 03:00:00,75.0,0.0
2000-01-04 04:00:00,75.0,0.0
2000-01-04 05:00:00,75.0,0.0
2000-01-04 06:00:00,75.0,507.0
2000-01-04 07:00:00,75.0,507.0
2000-01-04 08:00:00,75.0,507.0
2000-01-04 09:00:00,75.0,507.0
2000-01-04 10:00:00,75.0,507.0
2000-01-04 11:00:00,75.0,499.6975811780238
2000-01-04 12:00:00,75.0,507.0
2000-01-04 13:00:00,75.0,507.0
2000-01-04 14:00:00,75.0,507.0
2000-01-04 15:00:00,75.0,507.0
2000-01-04 16:00:00,75.0,507.0
2000-01-04 17:00:00,75.0,507.0
2000-01-04 18:00:00,75.0,507.0
2000-01-04 19:00:00,75.0,284.2855828702228
2000-01-04 20:00:00,75.0,296.1209991296816
2000-01-04 21:00:00,75.0,0.0
2000-01-04 22:00:00,75.0,0.0
2000-01-04 23:00:00,75.0,0.0
2000-01-05 00:00:00,75.0,0.0
2000-01-05 01:00:00,75.0,0.0
2000-01-05 02:00:00,75.0,0.0
2000-01-05 03:00:00,75.0,0.0
2000-01-05 04:00:00,75.0,0.0
2000-01-05 05:00:00,75.0,0.0
2000-01-05 06:00:00,75.0,507.0
2000-01-05 07:00:00,75.0,507.0
2000-01-05 08:00:00,75.0,507.0
2000-01-05 09:00:00,75.0,507.0
2000-01-05 10:00:00,75.0,507.0
2000-01-05 11:00:00,75.0,507.0
2000-01-05 12:00:00,75.0,507.0
2000-01-05 13:00:00,75.0,507.0
2000-01-05 14:00:00,75.0,507.0
2000-01-05 15:00:00,75.0,507.0
2000-01-05 16:00:00,75.0,507.0
2000-01-05 17:00:00,75.0,507.0
2000-01-05 18:00:00,75.0,507.0
2000-01-05 19:00:00,75.0,472.70621266565905
2000-01-05 20:00:00,75.0,465.9146732279248
2000-01-05 21:00:00,75.0,0.0
2000-01-05 22:00:00,75.0,0.0
2000-01-05 23:00:00,75.0,0.0
2000-01-06 00:00:00,75.0,0.0
2000-01-06 01:00:00,75.0,0.0
2000-01-06 02:00:00,75.0,0.0
2000-01-06 03:00:00,75.0,0.0
2000-01-06 04:00:00,75.0,0.0
2000-01-06 05:00:00,75.0,0.0
2000-01-06 06:00:00,75.0,484.03841137565456
2000-01-06 07:00:00,75.0,507.0
2000-01-06 08:00:00,75.0,507.0
2000-01-06 09:00:00,75.0,507.0
2000-01-06 10:00:00,75.0,507.0
2000-01-06 11:00:00,75.0,456.9425840151104
2000-01-06 12:00:00,75.0,413.65434512313493
2000-01-06 13:00:00,75.0,413.94864868082647
2000-01-06 14:00:00,75.0,426.54889834327406
2000-01-06 15:00:00,75.0,431.33647191274065
2000-01-06 16:00:00,75.0,423.5790032426115
2000-01-06 17:00:00,75.0,426.48363611848623
2000-01-06 18:00:00,75.0,446.44028769395925
2000-01-06 19:00:00,75.0,137.74253923019106
2000-01-06 20:00:00,75.0,107.82694489598167
2000-01-06 21:00:00,75.0,0.0
2000-01-06 22:00:00,75.0,0.0
2000-01-06 23:00:00,75.0,0.0
2000-01-07 00:00:00,75.0,0.0
2000-01-07 01:00:00,75.0,0.0
2000-01-07 02:00:00,75.0,0.0
2000-01-07 03:00:00,75.0,0.0
2000-01-07 04:00:00,75.0,0.0
2000-01-07 05:00:00,75.0,0.0
2000-01-07 06:00:00,75.0,507.0
2000-01-07 07:00:00,75.0,507.0
2000-01-07 08:00:00,75.0,507.0
2000-01-07 09:00:00,75.0,289.1768545300195
2000-01-07 10:00:00,75.0,0.0
2000-01-07 11:00:00,75.0,435.33772350939864
2000-01-07 12:00:00,75.0,501.4854549062293
2000-01-07 13:00:00,75.0,485.80307445809007
2000-01-07 14:00:00,75.0,507.0
2000-01-07 15:00:00,75.0,507.0
2000-01-07 16:00:00,75.0,507.0
2000-01-07 17:00:00,75.0,369.48601391291373
2000-01-07 18:00:00,75.0,302.6975404969073
2000-01-07 19:00:00,75.0,423.71473326357125
2000-01-07 20:00:00,75.0,219.93440750606527
2000-01-07 21:00:00,75.0,0.0
2000-01-07 22:00:00,75.0,0.0
