,QDHtot_kW,Tindoor0_Cdeg,Tindoor1_Cdeg,QDHapt0_W,QDHapt1_W,Tthermo0_Cdeg,Tthermo1_Cdeg,TsetP_Cdeg,COG_MDOTtoTES_kgs,COG_MDOTfromTES_kgs,COG_MDOTtoLOAD_kgs,HOB_Q_kW,HOB_Flag,HOB_mdotOUT
2000-01-01 01:00:00,0.0,18.16601443575238,18.1313170802844,1.14321099e-315,1.18669082e-315,21.0,21.0,74.8,506.99999999999994,0.0,0.0,0.0,-1.0,0.0
2000-01-01 02:00:00,0.0,18.07839109916528,18.04852412373274,1.14321099e-315,1.18669082e-315,22.0,22.0,72.46000000000001,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 03:00:00,0.0,18.0632941724789,18.03302151136036,1.143212253e-315,1.18669153e-315,22.0,22.0,70.84,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 04:00:00,0.0,18.0367394065506,18.00674253503527,1.14321099e-315,1.18669161e-315,22.0,22.0,69.76,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 05:00:00,0.0,17.99592832655801,17.96720661895517,1.143212253e-315,1.186691453e-315,22.0,22.0,69.04,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 06:00:00,44816.634115338056,21.91444302720087,21.91769836429889,1281.074119355484,1305.95620243909,21.0,21.0,68.5,60.06997565691388,0.0,446.93002434308613,0.0,-1.0,0.0
2000-01-01 07:00:00,45094.05687899779,22.12789132565763,22.10914711253912,1257.437406336432,1279.952087070268,20.0,20.0,68.5,57.30420535646871,0.0,449.6957946435313,0.0,-1.0,0.0
2000-01-01 08:00:00,42748.627705458886,21.87269442054382,21.6517904310392,1251.175436136713,1152.198842605389,19.0,19.0,69.94,80.69360445976486,0.0,426.30639554023514,0.0,-1.0,0.0
2000-01-01 09:00:00,42922.75769095661,21.66239302068464,21.41813441138615,1250.22860780022,1154.987472937834,18.0,18.0,71.2,78.95713911227517,0.0,428.0428608877249,0.0,-1.0,0.0
2000-01-01 10:00:00,0.0,19.52031206043415,19.40273724969462,1.14321099e-315,1.18669082e-315,19.0,19.0,72.64,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 11:00:00,20775.675088946842,19.1151531131016,18.94620676218705,629.2277871176677,582.8013036514226,20.0,20.0,72.64,299.81667884753256,0.0,207.18332115246744,0.0,-1.0,0.0
2000-01-01 12:00:00,28183.838269341803,19.5305610300785,19.51510461653821,848.4281250483473,708.5496112923847,21.0,21.0,72.64,225.93951975872233,0.0,281.0604802412777,0.0,-1.0,0.0
2000-01-01 13:00:00,43486.25587995539,20.64942191066406,20.76631604362417,1281.484846116056,1190.040906890429,20.0,20.0,72.64,73.33770589281063,0.0,433.6622941071894,0.0,-1.0,0.0
2000-01-01 14:00:00,58129.934096340075,20.99350575297252,20.97922017403205,1580.199760670996,1696.564767811894,19.0,19.0,73.72,0.0,72.6948959330993,507.0,0.0,-1.0,0.0
