;COGopex_sek;HOBopex_sek;COGco2_t;HOBco2_t;Apt0Bvar_sek;Apt1Bvar_sek
1;5493273.56;22976.5895;4244.647751;4009.927084;474.9201696;466.5528957
2;5518254.427;6748.458473;4263.951148;1177.756447;494.5136189;481.1130094
3;5520443.551;12384.6537;4265.642744;2161.398162;488.0378707;481.5453589
4;5423422.243;22549.19483;4190.671733;3935.337187;460.037279;454.3858846
5;5481620.172;4912.637743;4235.64286;857.3648036;483.2280636;473.9666161
6;5477055.603;10803.97898;4232.115693;1885.535185;477.6536413;469.819763
