 TIME                    	LPT3pin                  	LPT2pin                  	LPT1pin                  	LPT3mout                 	LPT2mout                 	LPT1mout                 	
  +1.2500000000000000E+00	  +4.6658239775191701E+00	  +6.2330483915092074E+00	  +1.0002524633684908E+01	  +8.4340701055668862E+04	  +9.5339610653895026E+04	  +9.7166157685161103E+04	
  +1.3750000000000000E+00	  +4.6657655646170086E+00	  +6.2330321710401657E+00	  +1.0002734919492443E+01	  +8.4339635663976529E+04	  +9.5337375809523248E+04	  +9.7169657712370856E+04	
  +1.5000000000000000E+00	  +4.6659884757643759E+00	  +6.2329345724402287E+00	  +1.0002844092706935E+01	  +8.4343701335053687E+04	  +9.5335501571218178E+04	  +9.7172357237805365E+04	
  +1.6250000000000000E+00	  +4.6656182681349199E+00	  +6.2332727046334497E+00	  +1.0002933763036168E+01	  +8.4336949126008767E+04	  +9.5341460023750638E+04	  +9.7170435200435561E+04	
  +1.7500000000000000E+00	  +4.6655203588707304E+00	  +6.2329955862584026E+00	  +1.0002733262634768E+01	  +8.4335163360224455E+04	  +9.5341460023750638E+04	  +9.7169993433706142E+04	
  +1.8750000000000000E+00	  +4.6658281722593982E+00	  +6.2328442679988187E+00	  +1.0002562444244212E+01	  +8.4340777563442913E+04	  +9.5338745497873228E+04	  +9.7168778124655044E+04	
  +2.0000000000000000E+00	  +4.6658324843396013E+00	  +6.2330665118815958E+00	  +1.0002750419447713E+01	  +8.4340856211377541E+04	  +9.5338461284049321E+04	  +9.7169564032164562E+04	
  +2.1250000000000000E+00	  +4.6657391205914918E+00	  +6.2330486399087643E+00	  +1.0002787766839811E+01	  +8.4339153351912595E+04	  +9.5337727222541769E+04	  +9.7170333992307118E+04	
  +2.2500000000000000E+00	  +4.6657120953802025E+00	  +6.2329792844482101E+00	  +1.0002737525709762E+01	  +8.4338660439587271E+04	  +9.5337745762718667E+04	  +9.7170222451246591E+04	
  +2.3750000000000000E+00	  +4.6656326957262229E+00	  +6.2329813540625141E+00	  +1.0002719559011627E+01	  +8.4337212270628632E+04	  +9.5338521549185069E+04	  +9.7169916648783692E+04	
  +2.5000000000000000E+00	  +4.6656425962507324E+00	  +6.2329328085328894E+00	  +1.0002677518677295E+01	  +8.4337392846141403E+04	  +9.5338900367529364E+04	  +9.7169729411983761E+04	
  +2.6250000000000000E+00	  +4.6656986994302612E+00	  +6.2329287124388602E+00	  +1.0002674869328336E+01	  +8.4338416111096303E+04	  +9.5338500047267982E+04	  +9.7169727872122618E+04	
  +2.7500000000000000E+00	  +4.6657280550971807E+00	  +6.2329632737361882E+00	  +1.0002713251575740E+01	  +8.4338951528571080E+04	  +9.5338241399045830E+04	  +9.7169995399510604E+04	
  +2.8750000000000000E+00	  +4.6657158162774790E+00	  +6.2329851778403151E+00	  +1.0002735111659911E+01	  +8.4338728304964927E+04	  +9.5338238957630208E+04	  +9.7170125795708052E+04	
  +3.0000000000000000E+00	  +4.6656957815622002E+00	  +6.2329799546648745E+00	  +1.0002725098628130E+01	  +8.4338362892152159E+04	  +9.5338375966660853E+04	  +9.7170018469329807E+04	
  +3.1250000000000000E+00	  +4.6656858469005202E+00	  +6.2329691201782600E+00	  +1.0002712106121393E+01	  +8.4338181694030674E+04	  +9.5338520778644903E+04	  +9.7169919354669793E+04	
  +3.2500000000000000E+00	  +4.6656906378736052E+00	  +6.2329607516785046E+00	  +1.0002703244619907E+01	  +8.4338269076505836E+04	  +9.5338488358506467E+04	  +9.7169861440343069E+04	
  +3.3750000000000000E+00	  +4.6657017601894459E+00	  +6.2329623811966686E+00	  +1.0002705909084618E+01	  +8.4338471936228801E+04	  +9.5338420283991014E+04	  +9.7169887628534590E+04	
  +3.5000000000000000E+00	  +4.6657033367716414E+00	  +6.2329685832560360E+00	  +1.0002714058607014E+01	  +8.4338500691483379E+04	  +9.5338346406550147E+04	  +9.7169955674538141E+04	
  +3.6250000000000000E+00	  +4.6657007032500966E+00	  +6.2329698509782014E+00	  +1.0002716420072666E+01	  +8.4338452658730777E+04	  +9.5338349452988376E+04	  +9.7169980631125611E+04	
  +3.7500000000000000E+00	  +4.6656950772148740E+00	  +6.2329694598702039E+00	  +1.0002714575305543E+01	  +8.4338350045573665E+04	  +9.5338404427774745E+04	  +9.7169955205359729E+04	
