 TIME                    	Wgross_MW                	Wnet_MW                  	Qboiler_MW               	Q_LHV_MW                 	eta_gross                	eta_net                  	eta_CHP                  	
  +2.0000000000000000E+00	  +2.9338207313851143E+01	  +2.6058759043055982E+01	  +7.7295223419120362E+01	  +9.3126775203759465E+01	  +3.1503514697743745E-01	  +2.7982026636313728E-01	  +2.9055831670163573E-01	
  +2.1250000000000000E+00	  +2.8713782890188817E+01	  +2.9053899707258005E+01	  +7.7847966675843097E+01	  +9.3792730934750708E+01	  +3.0614081287561923E-01	  +3.0976707275396520E-01	  +3.2042887980483009E-01	
  +2.2500000000000000E+00	  +2.9338224056637053E+01	  +2.6058774087148024E+01	  +7.7295219899955612E+01	  +9.3126770963801931E+01	  +3.1503534110552084E-01	  +2.7982044064726547E-01	  +2.9055849147465534E-01	
  +2.3750000000000000E+00	  +2.8713782999884458E+01	  +2.9051175090511638E+01	  +7.7847964704793682E+01	  +9.3792728559992383E+01	  +3.0614082179641827E-01	  +3.0973803125825172E-01	  +3.2039983857906518E-01	
  +2.5000000000000000E+00	  +2.9338227655790426E+01	  +2.6058777288902604E+01	  +7.7295214482685225E+01	  +9.3126764436970149E+01	  +3.1503540183281104E-01	  +2.7982049463921460E-01	  +2.9055854621918564E-01	
  +2.6250000000000000E+00	  +2.8713782250638893E+01	  +2.9048450557457752E+01	  +7.7847962789950628E+01	  +9.3792726252952562E+01	  +3.0614082133831771E-01	  +3.0970899042977029E-01	  +3.2037079801283458E-01	
  +2.7500000000000000E+00	  +2.9338235708736661E+01	  +2.6058784499079351E+01	  +7.7295209072789035E+01	  +9.3126757919022921E+01	  +3.1503551035511529E-01	  +2.7982059164712259E-01	  +2.9055864397865050E-01	
  +2.8750000000000000E+00	  +2.8713779611970708E+01	  +2.9045724600713744E+01	  +7.7847960830061282E+01	  +9.3792723891640094E+01	  +3.0614080091270296E-01	  +3.0967993459994436E-01	  +3.2034174245142882E-01	
  +3.0000000000000000E+00	  +2.9338235699239139E+01	  +2.6058784452945929E+01	  +7.7295203638251721E+01	  +9.3126751371387613E+01	  +3.1503553240291660E-01	  +2.7982061082560500E-01	  +2.9055866391211310E-01	
  +3.1250000000000000E+00	  +2.8713798652636058E+01	  +2.9043427256241646E+01	  +7.7847959115134501E+01	  +9.3792721825463246E+01	  +3.0614101066465388E-01	  +3.0965544757606994E-01	  +3.2031725566242530E-01	
  +3.2500000000000000E+00	  +2.9338243038261357E+01	  +2.6058791037381319E+01	  +7.7295200659182484E+01	  +9.3126747782147561E+01	  +3.1503562335165658E-01	  +2.7982069231431705E-01	  +2.9055874581468527E-01	
  +3.3750000000000000E+00	  +2.8713798673439513E+01	  +2.9042337183456009E+01	  +7.7847958344325377E+01	  +9.3792720896777553E+01	  +3.0614101391770199E-01	  +3.0964382849515798E-01	  +3.2030563668708090E-01	
  +3.5000000000000000E+00	  +2.9338245314499261E+01	  +2.6058793071081759E+01	  +7.7295198496322087E+01	  +9.3126745176291664E+01	  +3.1503565660929200E-01	  +2.7982072198219426E-01	  +2.9055877578303280E-01	
  +3.6250000000000000E+00	  +2.8713777352033834E+01	  +2.9041229374641244E+01	  +7.7847957631594213E+01	  +9.3792720038065312E+01	  +3.0614078939581335E-01	  +3.0963202008487445E-01	  +3.2029382837441073E-01	
  +3.7500000000000000E+00	  +2.9338243996090405E+01	  +2.6058791869501551E+01	  +7.7295196333456488E+01	  +9.3126742570429499E+01	  +3.1503565126743910E-01	  +2.7982071690947330E-01	  +2.9055877101078287E-01	
  +3.8750000000000000E+00	  +2.8713796143831757E+01	  +2.9040156883526695E+01	  +7.7847956850549167E+01	  +9.3792719097047183E+01	  +3.0614099282185897E-01	  +3.0962058849662827E-01	  +3.2028239689313398E-01	
  +4.0000000000000000E+00	  +2.9338246502753364E+01	  +2.6058794110498180E+01	  +7.7295194166649253E+01	  +9.3126739959818366E+01	  +3.1503568701548035E-01	  +2.7982074881759883E-01	  +2.9055880321992705E-01	
