,QDHtot_kW,Tindoor0_Cdeg,Tindoor1_Cdeg,QDHapt0_W,QDHapt1_W,Tthermo0_Cdeg,Tthermo1_Cdeg,TsetP_Cdeg,COG_MDOTtoTES_kgs,COG_MDOTfromTES_kgs,COG_MDOTtoLOAD_kgs,HOB_Q_kW,HOB_Flag,HOB_mdotOUT
2000-01-01 01:00:00,0.0,18.26282414077218,18.2247776016904,9.7517527e-316,9.89508707e-316,21.0,21.0,74.8,506.99999999999994,0.0,0.0,0.0,-1.0,0.0
2000-01-01 02:00:00,0.0,18.17281208254691,18.13780775043593,9.75177404e-316,9.895076e-316,22.0,22.0,72.46000000000001,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 03:00:00,0.0,18.15877956154949,18.12571112224102,9.75175744e-316,9.89508707e-316,22.0,22.0,70.84,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 04:00:00,0.0,18.13523077115096,18.1031197750663,9.75177167e-316,9.8950934e-316,22.0,22.0,69.76,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 05:00:00,0.0,18.09629322205519,18.06517981974329,9.75175586e-316,9.89508707e-316,22.0,22.0,69.04,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 06:00:00,43659.93686707504,21.85361923638973,21.85259436456202,1192.130718554781,1241.29301018437,21.0,21.0,68.5,71.60503935655132,0.0,435.3949606434487,0.0,-1.0,0.0
2000-01-01 07:00:00,43175.440205309875,22.15081444304085,22.10592138669105,1259.803026790451,1250.003967189919,20.0,20.0,68.5,76.43741069227556,0.0,430.56258930772447,0.0,1.0,0.0
2000-01-01 08:00:00,43072.218735268165,21.94710307454826,21.72471320456492,1255.767058819532,1153.528670210913,20.0,20.0,69.94,77.46662542086736,0.0,429.5333745791326,-11687.173588923619,1.0,429.5333745791326
2000-01-01 09:00:00,41136.65967768378,21.74191696142263,21.50251802528322,1252.952480252781,1155.226558817277,20.0,20.0,71.2,96.76882094622825,0.0,410.2311790537718,-8689.172240526594,1.0,410.2311790537718
2000-01-01 10:00:00,42766.21942709835,21.789618328666,21.55925164310109,1252.660425166207,1158.19262014866,19.0,19.0,72.64,80.51819587000735,0.0,426.4818041299927,-6783.960761934963,-1.0,426.4818041299927
2000-01-01 11:00:00,41499.996945189785,20.8368649945245,20.59937943815262,1254.370980776225,1162.295554140661,18.0,18.0,72.64,93.14547262071547,0.0,413.85452737928455,0.0,-1.0,0.0
2000-01-01 12:00:00,43270.677255137474,20.87847017007275,20.63261982512134,1262.017630953916,1172.521907571671,18.0,18.0,72.64,75.48754192136909,0.0,431.5124580786309,0.0,-1.0,0.0
2000-01-01 13:00:00,0.0,18.64956474513975,18.5037093679025,9.75175744e-316,9.89508707e-316,19.0,19.0,72.64,507.0,0.0,0.0,0.0,-1.0,0.0
2000-01-01 14:00:00,16841.946035095516,18.72747325027877,18.58189639577207,508.5933757681556,473.464032555474,20.0,20.0,73.72,339.0453944099643,0.0,167.95460559003575,0.0,-1.0,0.0
2000-01-01 15:00:00,28793.363647363145,19.68549502807485,19.47307734440304,854.4500822511123,796.7301105148058,21.0,21.0,74.62,219.8610895135426,0.0,287.1389104864575,0.0,-1.0,0.0
2000-01-01 16:00:00,45390.47353601634,20.40143738375458,20.31836669731646,1286.141905986878,1270.32128665038,19.0,19.0,75.69999999999999,54.348087662715436,0.0,452.65191233728456,0.0,-1.0,0.0
