Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/27  01:00:00,-11.393333333333335,1185.0323115249705,0.04196967698958333,65.5373588001349,54.48144600724309,2000.0,53.8908271960155,65.35862203341678,0.04196967698958333,7200000.000000001 
 01/27  02:00:00,-17.0,1341.1542521340864,0.0498360620364583,64.97426367851627,54.455534547012799,2000.0,54.2071582125425,63.80255754089106,0.0498360620364583,7200000.000000001 
 01/27  03:00:00,-17.0,1342.9651150624186,0.049994899999999977,64.44545933174064,53.94659624207312,2000.0,54.214558262017707,63.77876702802139,0.049994899999999977,7200000.000000001 
 01/27  04:00:00,-17.0,1340.9135310663323,0.049994899999999977,64.10408636068739,53.62124998398717,2000.0,54.03794647360032,63.602316780089029,0.049994899999999977,7200000.000000001 
 01/27  05:00:00,-16.948333333333335,1337.518602698177,0.049994899999999977,63.82320139568138,53.366525861821028,2000.0,53.815267866015137,63.37984185623316,0.049994899999999977,7200000.000000001 
 01/27  06:00:00,-16.796666666666668,1333.4406733634282,0.049994899999999977,63.56599801867916,53.14006980684748,2000.0,53.584997564132127,63.149782191242248,0.049994899999999977,7200000.000000001 
 01/27  07:00:00,-16.648333333333335,1327.8424164297603,0.049994899999999977,63.32275757473805,52.94010436002084,2000.0,53.36322814351835,62.92821564018155,0.049994899999999977,7200000.000000001 
 01/27  08:00:00,-16.18666666666667,1321.1073284565316,0.049994899999999977,63.09299003283139,52.762692696972099,2000.0,53.15695190643438,62.72212810755673,0.049994899999999977,7200000.000000001 
 01/27  09:00:00,-15.386666666666665,1311.9662506774985,0.049994899999999977,62.87875680489022,52.61991739325926,2000.0,52.97149739626728,62.53684326016903,0.049994899999999977,7200000.000000001 
 01/27  10:00:00,-14.586666666666665,1297.3093348092505,0.049994899999999977,62.68526603260691,52.54059527692151,2000.0,52.819788639124599,62.38527329799078,0.049994899999999977,7200000.000000001 
 01/27  11:00:00,-13.631666666666665,1276.8446902757307,0.049994899999999977,62.52310169657417,52.53775170150914,2000.0,52.72038766947091,62.28596327023327,0.049994899999999977,7200000.000000001 
 01/27  12:00:00,-12.583333333333334,1178.5971657075172,0.045391202958333338,62.57249118969278,52.41058416388031,2000.0,52.64331739873666,63.20135141558397,0.045391202958333338,7200000.000000001 
 01/27  13:00:00,-11.531666666666668,1092.1521637792341,0.040542739218750008,63.09210611876768,52.549863446267689,2000.0,52.592689787655839,64.39691490032513,0.040542739218750008,7200000.000000001 
 01/27  14:00:00,-10.845,1076.0363330218654,0.039066327328125,63.727580655049539,52.95213923743098,2000.0,52.67626963812519,64.91866957054995,0.039066327328125,7200000.000000001 
 01/27  15:00:00,-10.596666666666664,1139.2482177708182,0.041519202109375017,64.0944026003872,53.361467539411219,2000.0,52.89759548920112,64.42239413507099,0.041519202109375017,7200000.000000001 
 01/27  16:00:00,-10.345,1210.9313670049758,0.0449016695625,64.0832766514735,53.53698897626353,2000.0,53.159134722102887,63.81350344520938,0.0449016695625,7200000.000000001 
 01/27  17:00:00,-9.993333333333333,1253.537676122109,0.04728163511458335,63.8699026238499,53.50376401791489,2000.0,53.346428054787029,63.46062526855237,0.04728163511458335,7200000.000000001 
 01/27  18:00:00,-9.593333333333334,1252.7976374100447,0.04750036280208333,63.69289776142441,53.380234673193829,2000.0,53.41262705061202,63.47991061639791,0.04750036280208333,7200000.000000001 
 01/27  19:00:00,-9.193333333333332,1231.2844257189172,0.04648744529687499,63.64757852317695,53.2907418210202,2000.0,53.40294615900832,63.68978961611015,0.04648744529687499,7200000.000000001 
 01/27  20:00:00,-8.483333333333335,1209.8165479268719,0.04534433273958335,63.71084138390707,53.277146261240698,2000.0,53.37945938727666,63.926711990962747,0.04534433273958335,7200000.000000001 
 01/27  21:00:00,-7.535,1172.7027559861822,0.043313289927083328,63.900536531951299,53.31145482539492,2000.0,53.369036911831788,64.41216821208426,0.043313289927083328,7200000.000000001 
 01/27  22:00:00,-6.583333333333332,1130.0994063064247,0.04092551267187501,64.24127678611683,53.44038086201123,2000.0,53.3959488922341,65.08394322019338,0.04092551267187501,7200000.000000001 
 01/27  23:00:00,-5.893333333333333,1096.2287555492737,0.03889186595833335,64.70648890090459,53.68169073559961,2000.0,53.48312428590368,65.78036478848594,0.03889186595833335,7200000.000000001 
 01/27  24:00:00,-5.545,1077.8696067892433,0.03756387642708334,65.21916793517942,53.99620868866709,2000.0,53.64076644458267,66.37173751717906,0.03756387642708334,7200000.000000001 
