 TIME                    ,CSP_load_factor          ,HT_Level                 ,Global_Radiation         ,dtSim                    ,ct_fr                    ,DNI                      ,FILL_FREQ                ,EMP_FREQ                 ,PowerCSP                 ,PowerPV                  ,Ptotal                   ,AC_Crtld                 ,PVnet_to_grid            ,DC_curtailed             ,cleanCSP                 ,LOAD                     ,
  +1.2000000000000000E+01,  +5.7132000000000005E-01,  +1.0000000000000000E+00,  +1.2337000000000000E+03,  +1.0000000000000000E+00,  +3.4029920386485786E+09,  +2.4318000000000002E+03,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0045153884009706E+02,  +1.0000000000000000E+02,  +2.0045153884009704E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +3.8220999999999999E-01,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.3000000000000000E+01,  +5.7132000000000005E-01,  +1.0000000000000000E+00,  +1.0823000000000000E+03,  +1.0000000000000000E+00,  +3.3778033485031414E+09,  +2.4138000000000002E+03,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +9.9917491858265166E+01,  +1.0000000000000000E+02,  +1.9991749185826518E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +2.2758999999999999E-01,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.4000000000000000E+01,  +5.8994500000000005E-01,  +9.9998004432564980E-01,  +8.4145000000000005E+02,  +1.0000000000000000E+00,  +3.4027270810256896E+09,  +2.4660000000000000E+03,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +9.9794677299892598E+01,  +9.1310000000000002E+01,  +1.9110467729989261E+02,  +0.0000000000000000E+00,  +9.1310000000000002E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.5000000000000000E+01,  +6.5854000000000001E-01,  +9.9996008865129948E-01,  +6.1029999999999995E+02,  +1.0000000000000000E+00,  +3.3382610496651492E+09,  +2.5091999999999998E+03,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0904727316837092E+02,  +6.7997000000000000E+01,  +1.7704427316837092E+02,  +0.0000000000000000E+00,  +6.7997000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.6000000000000000E+01,  +7.5824500000000006E-01,  +9.9996008865129948E-01,  +3.9475000000000000E+02,  +1.0000000000000000E+00,  +2.9342969131432672E+09,  +2.3238000000000002E+03,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +1.3133431492121699E+02,  +4.4792999999999999E+01,  +1.7612731492121699E+02,  +0.0000000000000000E+00,  +4.4792999999999999E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.7000000000000000E+01,  +8.4999000000000002E-01,  +9.9996008865129948E-01,  +2.2199000000000001E+02,  +1.0000000000000000E+00,  +2.1698057872523203E+09,  +1.8432000000000000E+03,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +1.5318654145418463E+02,  +2.5193999999999999E+01,  +1.7838054145418462E+02,  +0.0000000000000000E+00,  +2.5193999999999999E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.8000000000000000E+01,  +9.4599999999999995E-01,  +9.8636719761227032E-01,  +9.4318999999999997E-01,  +1.0000000000000000E+00,  +8.1072077022853601E+08,  +7.5600000000000000E+02,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +1.7305729668608259E+02,  +0.0000000000000000E+00,  +1.7305729668608259E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.9000000000000000E+01,  +1.0000000000000000E+00,  +9.4144634254490678E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9564107894323124E+02,  +0.0000000000000000E+00,  +1.9564107894323124E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +2.0000000000000000E+01,  +1.0000000000000000E+00,  +8.7844363418652571E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9779705692304847E+02,  +0.0000000000000000E+00,  +1.9779705692304847E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +2.1000000000000000E+01,  +1.0000000000000000E+00,  +8.1478995256483122E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9957504652737094E+02,  +0.0000000000000000E+00,  +1.9957504652737094E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
