 TIME                    	DeaLPmout                	ColdPHm_c_out            	DeaHPmout                	HotPHm_c_out             	DeaLPTout                	ColdPhT_c_out            	DeaHPTout                	HotPhT_c_out             	
  +1.2500000000000000E+00	  +9.7131527599522087E+04	  +9.7183607285600781E+04	  +1.1232433674540298E+05	  +1.1231000000000000E+05	  +1.4794196942732253E+02	  +1.5740837017254523E+02	  +1.7752743606502679E+02	  +2.2836578512255880E+02	
  +1.3750000000000000E+00	  +9.7175283880336021E+04	  +9.7186818949845328E+04	  +1.1232675509647753E+05	  +1.1231000000000000E+05	  +1.4794248090235135E+02	  +1.5740489273381831E+02	  +1.7752027831717066E+02	  +2.2836660954129192E+02	
  +1.5000000000000000E+00	  +9.7170871089024979E+04	  +9.7131527599522087E+04	  +1.1226913127639161E+05	  +1.1231000000000000E+05	  +1.4794201515291726E+02	  +1.5740855506142952E+02	  +1.7752385643347313E+02	  +2.2836530152167396E+02	
  +1.6250000000000000E+00	  +9.7171215338338981E+04	  +9.7170471188495765E+04	  +1.1231110626286495E+05	  +1.1231000000000000E+05	  +1.4794379251265968E+02	  +1.5740889969826830E+02	  +1.7752480235160689E+02	  +2.2836617106682883E+02	
  +1.7500000000000000E+00	  +9.7175994849989118E+04	  +9.7175330644402464E+04	  +1.1231590089827168E+05	  +1.1231000000000000E+05	  +1.4794084069914697E+02	  +1.5740737316740405E+02	  +1.7752529344001897E+02	  +2.2836582365247423E+02	
  +1.8750000000000000E+00	  +9.7168073421626221E+04	  +9.7171215338338981E+04	  +1.1231150324392121E+05	  +1.1231000000000000E+05	  +1.4794006002941990E+02	  +1.5740705454709462E+02	  +1.7752569679957742E+02	  +2.2836609095460375E+02	
  +2.0000000000000000E+00	  +9.7166015106799779E+04	  +9.7175994849989118E+04	  +1.1231619118888397E+05	  +1.1231000000000000E+05	  +1.4794251434869309E+02	  +1.5740749167422985E+02	  +1.7752479489864686E+02	  +2.2836620824412967E+02	
  +2.1250000000000000E+00	  +9.7173110784801946E+04	  +9.7168073421626221E+04	  +1.1230767717387032E+05	  +1.1231000000000000E+05	  +1.4794254873063338E+02	  +1.5740756497479359E+02	  +1.7752402651482154E+02	  +2.2836610146004580E+02	
  +2.2500000000000000E+00	  +9.7173021571076853E+04	  +9.7166015106799779E+04	  +1.1230590183258495E+05	  +1.1231000000000000E+05	  +1.4794180430412419E+02	  +1.5740767686481530E+02	  +1.7752487207428067E+02	  +2.2836601569601501E+02	
  +2.3750000000000000E+00	  +9.7170580873718587E+04	  +9.7173110784801946E+04	  +1.1231350209551169E+05	  +1.1231000000000000E+05	  +1.4794158882130449E+02	  +1.5740744926903923E+02	  +1.7752504007218718E+02	  +2.2836609302918481E+02	
  +2.5000000000000000E+00	  +9.7170025880061265E+04	  +9.7173021571076853E+04	  +1.1231324016371332E+05	  +1.1231000000000000E+05	  +1.4794095573610346E+02	  +1.5740711032119228E+02	  +1.7752481407502395E+02	  +2.2836604967581673E+02	
  +2.6250000000000000E+00	  +9.7168472025869618E+04	  +9.7170580873718587E+04	  +1.1231064147108691E+05	  +1.1231000000000000E+05	  +1.4794103467694561E+02	  +1.5740713883971932E+02	  +1.7752473325632405E+02	  +2.2836606253758885E+02	
  +2.7500000000000000E+00	  +9.7168760267527483E+04	  +9.7170025880061265E+04	  +1.1231006095893160E+05	  +1.1231000000000000E+05	  +1.4794148201003725E+02	  +1.5740722461756920E+02	  +1.7752454414839013E+02	  +2.2836606448691970E+02	
  +2.8750000000000000E+00	  +9.7170092807545589E+04	  +9.7168472025869618E+04	  +1.1230841627060818E+05	  +1.1231000000000000E+05	  +1.4794171607451187E+02	  +1.5740739432174982E+02	  +1.7752453223095617E+02	  +2.2836601995543029E+02	
  +3.0000000000000000E+00	  +9.7170663435789247E+04	  +9.7168760267527483E+04	  +1.1230878087476500E+05	  +1.1231000000000000E+05	  +1.4794161848950688E+02	  +1.5740742823647952E+02	  +1.7752470488390057E+02	  +2.2836602371148399E+02	
  +3.1250000000000000E+00	  +9.7170307258204368E+04	  +9.7170092807545589E+04	  +1.1231020393625509E+05	  +1.1231000000000000E+05	  +1.4794145874470806E+02	  +1.5740736730682627E+02	  +1.7752480321602420E+02	  +2.2836604037254244E+02	
  +3.2500000000000000E+00	  +9.7169849629854027E+04	  +9.7170663435789247E+04	  +1.1231076994329598E+05	  +1.1231000000000000E+05	  +1.4794137953167660E+02	  +1.5740729331707510E+02	  +1.7752475817490398E+02	  +2.2836605058622490E+02	
  +3.3750000000000000E+00	  +9.7169664353083834E+04	  +9.7170307258204368E+04	  +1.1231036985470665E+05	  +1.1231000000000000E+05	  +1.4794141773202142E+02	  +1.5740728859051762E+02	  +1.7752469973136056E+02	  +2.2836605106131304E+02	
  +3.5000000000000000E+00	  +9.7169803613028533E+04	  +9.7169849629854027E+04	  +1.1230988951095589E+05	  +1.1231000000000000E+05	  +1.4794150641469452E+02	  +1.5740732141413093E+02	  +1.7752465987011149E+02	  +2.2836604904292378E+02	
  +3.6250000000000000E+00	  +9.7170049379628195E+04	  +9.7169664353083834E+04	  +1.1230970667163374E+05	  +1.1231000000000000E+05	  +1.4794151898541503E+02	  +1.5740733964765803E+02	  +1.7752467185553988E+02	  +2.2836604067758913E+02	
  +3.7500000000000000E+00	  +9.7170070416333183E+04	  +9.7169803613028533E+04	  +1.1230986430173235E+05	  +1.1231000000000000E+05	  +1.4794149798729433E+02	  +1.5740734659687772E+02	  +1.7752470851412897E+02	  +2.2836603975208661E+02	
  +3.8750000000000000E+00	  +9.7169994563712942E+04	  +9.7170049379628195E+04	  +1.1231012258461639E+05	  +1.1231000000000000E+05	  +1.4794145312866510E+02	  +1.5740732468019320E+02	  +1.7752471913659187E+02	  +2.2836604347768491E+02	
  +4.0000000000000000E+00	  +9.7169874798584642E+04	  +9.7170070416333183E+04	  +1.1231013602908127E+05	  +1.1231000000000000E+05	  +1.4794144141742092E+02	  +1.5740731379208808E+02	  +1.7752471083836815E+02	  +2.2836604467612162E+02	
  +4.1250000000000000E+00	  +9.7169851032396007E+04	  +9.7169994563712942E+04	  +1.1231005428909528E+05	  +1.1231000000000000E+05	  +1.4794146546904147E+02	  +1.5740731687862726E+02	  +1.7752469410925053E+02	  +2.2836604666736375E+02	
  +4.2500000000000000E+00	  +9.7169925845524616E+04	  +9.7169874798584642E+04	  +1.1230992731927244E+05	  +1.1231000000000000E+05	  +1.4794148622475828E+02	  +1.5740732708020312E+02	  +1.7752468801534204E+02	  +2.2836604359790297E+02	
  +4.3750000000000000E+00	  +9.7169980670541147E+04	  +9.7169851032396007E+04	  +1.1230990661998169E+05	  +1.1231000000000000E+05	  +1.4794148725356936E+02	  +1.5740733249547716E+02	  +1.7752469558308508E+02	  +2.2836604261185113E+02	
  +4.5000000000000000E+00	  +9.7169974192413400E+04	  +9.7169925845524616E+04	  +1.1230998820724191E+05	  +1.1231000000000000E+05	  +1.4794147653402709E+02	  +1.5740733076311452E+02	  +1.7752470562325703E+02	  +2.2836604284030381E+02	
  +4.6250000000000000E+00	  +9.7169944307810481E+04	  +9.7169980670541147E+04	  +1.1231004537042967E+05	  +1.1231000000000000E+05	  +1.4794146698152025E+02	  +1.5740732507481772E+02	  +1.7752470559092677E+02	  +2.2836604391306929E+02	
  +4.7500000000000000E+00	  +9.7169919538405797E+04	  +9.7169974192413400E+04	  +1.1231003531766277E+05	  +1.1231000000000000E+05	  +1.4794146585034511E+02	  +1.5740732241950022E+02	  +1.7752470188103922E+02	  +2.2836604406821775E+02	
  +4.8750000000000000E+00	  +9.7169920467192656E+04	  +9.7169944307810481E+04	  +1.1231000362575389E+05	  +1.1231000000000000E+05	  +1.4794147567963216E+02	  +1.5740732534900008E+02	  +1.7752469751277167E+02	  +2.2836604424568665E+02	
  +5.0000000000000000E+00	  +9.7169947623908520E+04	  +9.7169919538405797E+04	  +1.1230997754245439E+05	  +1.1231000000000000E+05	  +1.4794147763215921E+02	  +1.5740732684271040E+02	  +1.7752469694772705E+02	  +2.2836604365660659E+02	
  +5.1250000000000000E+00	  +9.7169952612483045E+04	  +9.7169920467192656E+04	  +1.1230997748497745E+05	  +1.1231000000000000E+05	  +1.4794147665650610E+02	  +1.5740732807866050E+02	  +1.7752470002258701E+02	  +2.2836604316377301E+02	
  +5.2500000000000000E+00	  +9.7169947315747122E+04	  +9.7169947623908520E+04	  +1.1231000677796261E+05	  +1.1231000000000000E+05	  +1.4794147240679459E+02	  +1.5740732621754435E+02	  +1.7752470172863437E+02	  +2.2836604466507936E+02	
  +5.3750000000000000E+00	  +9.7169936893317805E+04	  +9.7169952612483045E+04	  +1.1231001043069243E+05	  +1.1231000000000000E+05	  +1.4794147113484607E+02	  +1.5740732527049485E+02	  +1.7752470111636762E+02	  +2.2836604476763381E+02	
  +5.5000000000000000E+00	  +9.7169933431701182E+04	  +9.7169947315747122E+04	  +1.1231000762976038E+05	  +1.1231000000000000E+05	  +1.4794147139886184E+02	  +1.5740732455521496E+02	  +1.7752469959769979E+02	  +2.2836604506590282E+02	
  +5.6250000000000000E+00	  +9.7169931941802977E+04	  +9.7169936893317805E+04	  +1.1230999675207939E+05	  +1.1231000000000000E+05	  +1.4794147427464867E+02	  +1.5740732652344772E+02	  +1.7752470020240179E+02	  +2.2836604349752389E+02	
  +5.7500000000000000E+00	  +9.7169939941458229E+04	  +9.7169933431701182E+04	  +1.1230999421271755E+05	  +1.1231000000000000E+05	  +1.4794147430262245E+02	  +1.5740732669124634E+02	  +1.7752470020076245E+02	  +2.2836604370854931E+02	
  +5.8750000000000000E+00	  +9.7169940366531548E+04	  +9.7169931941802977E+04	  +1.1230999170206589E+05	  +1.1231000000000000E+05	  +1.4794147322350847E+02	  +1.5740732673075152E+02	  +1.7752470146340295E+02	  +2.2836604361315202E+02	
  +6.0000000000000000E+00	  +9.7169939949197142E+04	  +9.7169939941458229E+04	  +1.1230999944899725E+05	  +1.1231000000000000E+05	  +1.4794147608965127E+02	  +1.5740732710622541E+02	  +1.7752470027505501E+02	  +2.2836604402148492E+02	
  +6.1250000000000000E+00	  +9.7169946479612932E+04	  +9.7169940366531548E+04	  +1.1231000079080535E+05	  +1.1231000000000000E+05	  +1.4794147563832354E+02	  +1.5740732695046822E+02	  +1.7752470018967867E+02	  +2.2836604382486510E+02	
  +6.2500000000000000E+00	  +9.7169944144948735E+04	  +9.7169939949197142E+04	  +1.1231000058690114E+05	  +1.1231000000000000E+05	  +1.4794147573539828E+02	  +1.5740732747690694E+02	  +1.7752470067261632E+02	  +2.2836604388337176E+02	
  +6.3750000000000000E+00	  +9.7169946105929776E+04	  +9.7169946479612932E+04	  +1.1231000452203605E+05	  +1.1231000000000000E+05	  +1.4794147241823572E+02	  +1.5740732553906940E+02	  +1.7752470050230971E+02	  +2.2836604364550155E+02	
  +6.5000000000000000E+00	  +9.7169937534942437E+04	  +9.7169944144948735E+04	  +1.1231000206269010E+05	  +1.1231000000000000E+05	  +1.4794147320565469E+02	  +1.5740732603615083E+02	  +1.7752470054124723E+02	  +2.2836604479107737E+02	
  +6.6250000000000000E+00	  +9.7169939728497804E+04	  +9.7169946105929776E+04	  +1.1231000617643043E+05	  +1.1231000000000000E+05	  +1.4794147411690574E+02	  +1.5740732584814663E+02	  +1.7752469946857082E+02	  +2.2836604506124030E+02	
  +6.7500000000000000E+00	  +9.7169941872611307E+04	  +9.7169937534942437E+04	  +1.1230999751675181E+05	  +1.1231000000000000E+05	  +1.4794147260831920E+02	  +1.5740732557822861E+02	  +1.7752469971787232E+02	  +2.2836604359356593E+02	
  +6.8750000000000000E+00	  +9.7169934624548885E+04	  +9.7169939728497804E+04	  +1.1231000024204563E+05	  +1.1231000000000000E+05	  +1.4794147317197221E+02	  +1.5740732647591682E+02	  +1.7752470119839839E+02	  +2.2836604352244245E+02	
  +7.0000000000000000E+00	  +9.7169936210383399E+04	  +9.7169941872611307E+04	  +1.1231000182868706E+05	  +1.1231000000000000E+05	  +1.4794147293401301E+02	  +1.5740732613685961E+02	  +1.7752470082570056E+02	  +2.2836604377255424E+02	
  +7.1250000000000000E+00	  +9.7169938162447070E+04	  +9.7169934624548885E+04	  +1.1230999398516453E+05	  +1.1231000000000000E+05	  +1.4794147294872550E+02	  +1.5740732587978630E+02	  +1.7752470014165164E+02	  +2.2836604386194369E+02	
  +7.2500000000000000E+00	  +9.7169938410240691E+04	  +9.7169936210383399E+04	  +1.1230999648505173E+05	  +1.1231000000000000E+05	  +1.4794147633968979E+02	  +1.5740732726592819E+02	  +1.7752470011367018E+02	  +2.2836604382291944E+02	
  +7.3750000000000000E+00	  +9.7169946266240629E+04	  +9.7169938162447070E+04	  +1.1230999857723986E+05	  +1.1231000000000000E+05	  +1.4794147648135700E+02	  +1.5740732739704279E+02	  +1.7752469992075856E+02	  +2.2836604383915366E+02	
  +7.5000000000000000E+00	  +9.7169948525734450E+04	  +9.7169938410240691E+04	  +1.1230999617152355E+05	  +1.1231000000000000E+05	  +1.4794147358284579E+02	  +1.5740732645869392E+02	  +1.7752470069852100E+02	  +2.2836604352395395E+02	
  +7.6250000000000000E+00	  +9.7169940379221691E+04	  +9.7169946266240629E+04	  +1.1231000447230332E+05	  +1.1231000000000000E+05	  +1.4794147327443582E+02	  +1.5740732609318289E+02	  +1.7752470086106840E+02	  +2.2836604486593558E+02	
  +7.7500000000000000E+00	  +9.7169939826006885E+04	  +9.7169948525734450E+04	  +1.1231000873723425E+05	  +1.1231000000000000E+05	  +1.4794147394121904E+02	  +1.5740732590821085E+02	  +1.7752469983318571E+02	  +2.2836604505986901E+02	
  +7.8750000000000000E+00	  +9.7169941253422410E+04	  +9.7169940379221691E+04	  +1.1231000042504061E+05	  +1.1231000000000000E+05	  +1.4794147259624646E+02	  +1.5740732547627303E+02	  +1.7752469967772518E+02	  +2.2836604366358227E+02	
  +8.0000000000000000E+00	  +9.7169934579960856E+04	  +9.7169939826006885E+04	  +1.1231000034766084E+05	  +1.1231000000000000E+05	  +1.4794147297684279E+02	  +1.5740732635739533E+02	  +1.7752470112579900E+02	  +2.2836604353205473E+02	
  +8.1250000000000000E+00	  +9.7169935758791951E+04	  +9.7169941253422410E+04	  +1.1231000117246031E+05	  +1.1231000000000000E+05	  +1.4794147305485023E+02	  +1.5740732616909108E+02	  +1.7752470073979038E+02	  +2.2836604377824969E+02	
  +8.2500000000000000E+00	  +9.7169938406273388E+04	  +9.7169934579960856E+04	  +1.1230999394921360E+05	  +1.1231000000000000E+05	  +1.4794147293718726E+02	  +1.5740732583961019E+02	  +1.7752470008169121E+02	  +2.2836604384438442E+02	
  +8.3750000000000000E+00	  +9.7169938493256253E+04	  +9.7169935758791951E+04	  +1.1230999602585418E+05	  +1.1231000000000000E+05	  +1.4794147635137767E+02	  +1.5740732732196551E+02	  +1.7752470015653509E+02	  +2.2836604380724668E+02	
  +8.5000000000000000E+00	  +9.7169946251414687E+04	  +9.7169938406273388E+04	  +1.1230999885268492E+05	  +1.1231000000000000E+05	  +1.4794147636517630E+02	  +1.5740732733980025E+02	  +1.7752469993132246E+02	  +2.2836604384362772E+02	
  +8.6250000000000000E+00	  +9.7169948221969491E+04	  +9.7169938493256253E+04	  +1.1230999625301830E+05	  +1.1231000000000000E+05	  +1.4794147357397082E+02	  +1.5740732645699484E+02	  +1.7752470071278958E+02	  +2.2836604351875795E+02	
  +8.7500000000000000E+00	  +9.7169940360323380E+04	  +9.7169946251414687E+04	  +1.1231000449749162E+05	  +1.1231000000000000E+05	  +1.4794147329428023E+02	  +1.5740732608005925E+02	  +1.7752470082205673E+02	  +2.2836604487138862E+02	
  +8.8750000000000000E+00	  +9.7169939932425725E+04	  +9.7169948221969491E+04	  +1.1231000841453196E+05	  +1.1231000000000000E+05	  +1.4794147396454645E+02	  +1.5740732592540590E+02	  +1.7752469982716173E+02	  +2.2836604505280684E+02	
  +9.0000000000000000E+00	  +9.7169941407126869E+04	  +9.7169940360323380E+04	  +1.1231000040901813E+05	  +1.1231000000000000E+05	  +1.4794147262197677E+02	  +1.5740732547749184E+02	  +1.7752469966569464E+02	  +2.2836604366449609E+02	
  +9.1250000000000000E+00	  +9.7169934638540144E+04	  +9.7169939932425725E+04	  +1.1231000046355289E+05	  +1.1231000000000000E+05	  +1.4794147296074294E+02	  +1.5740732635407988E+02	  +1.7752470113790656E+02	  +2.2836604352719789E+02	
  +9.2500000000000000E+00	  +9.7169935711763857E+04	  +9.7169941407126869E+04	  +1.1231000133527978E+05	  +1.1231000000000000E+05	  +1.4794147304178009E+02	  +1.5740732616354964E+02	  +1.7752470074030251E+02	  +2.2836604377983167E+02	
  +9.3750000000000000E+00	  +9.7169938351900157E+04	  +9.7169934638540144E+04	  +1.1230999401590042E+05	  +1.1231000000000000E+05	  +1.4794147284804359E+02	  +1.5740732579491623E+02	  +1.7752470007770512E+02	  +2.2836604384323869E+02	
  +9.5000000000000000E+00	  +9.7169938262452502E+04	  +9.7169935711763857E+04	  +1.1230999597451702E+05	  +1.1231000000000000E+05	  +1.4794147636218457E+02	  +1.5740732732453142E+02	  +1.7752470014979338E+02	  +2.2836604380527299E+02	
  +9.6250000000000000E+00	  +9.7169946283620156E+04	  +9.7169938351900157E+04	  +1.1230999879178105E+05	  +1.1231000000000000E+05	  +1.4794147637305679E+02	  +1.5740732733067023E+02	  +1.7752469990429989E+02	  +2.2836604384268014E+02	
  +9.7500000000000000E+00	  +9.7169948258110962E+04	  +9.7169938262452502E+04	  +1.1230999601171464E+05	  +1.1231000000000000E+05	  +1.4794147358151264E+02	  +1.5740732646987169E+02	  +1.7752470071549970E+02	  +2.2836604351403525E+02	
  +9.8750000000000000E+00	  +9.7169940376234445E+04	  +9.7169946283620156E+04	  +1.1231000453632082E+05	  +1.1231000000000000E+05	  +1.4794147329888455E+02	  +1.5740732608149361E+02	  +1.7752470082621699E+02	  +2.2836604487217755E+02	
  +1.0000000000000000E+01	  +9.7169939942607452E+04	  +9.7169948258110962E+04	  +1.1231000845269796E+05	  +1.1231000000000000E+05	  +1.4794147395946632E+02	  +1.5740732592531123E+02	  +1.7752469983254792E+02	  +2.2836604505164013E+02	
  +1.0125000000000000E+01	  +9.7169941392993846E+04	  +9.7169940376234445E+04	  +1.1231000042458752E+05	  +1.1231000000000000E+05	  +1.4794147262045669E+02	  +1.5740732547673377E+02	  +1.7752469966582720E+02	  +2.2836604366560607E+02	
  +1.0250000000000000E+01	  +9.7169934633229233E+04	  +9.7169939942607452E+04	  +1.1231000047378802E+05	  +1.1231000000000000E+05	  +1.4794147295721774E+02	  +1.5740732635093443E+02	  +1.7752470113671339E+02	  +2.2836604352747202E+02	
  +1.0375000000000000E+01	  +9.7169935704719261E+04	  +9.7169941392993846E+04	  +1.1231000131961578E+05	  +1.1231000000000000E+05	  +1.4794147304878823E+02	  +1.5740732616625536E+02	  +1.7752470073820024E+02	  +2.2836604377983551E+02	
  +1.0500000000000000E+01	  +9.7169938370437143E+04	  +9.7169934633229233E+04	  +1.1230999401043999E+05	  +1.1231000000000000E+05	  +1.4794147284801130E+02	  +1.5740732579448360E+02	  +1.7752470007651777E+02	  +2.2836604384300909E+02	
