,OUT||Base8||Tout,OUT||Base8||mdot
2000-01-06 20:00:00,75.0,225.7575838330487
2000-01-06 21:00:00,75.0,0.0
2000-01-06 22:00:00,75.0,0.0
2000-01-06 23:00:00,75.0,0.0
2000-01-07 00:00:00,75.0,0.0
2000-01-07 01:00:00,75.0,0.0
2000-01-07 02:00:00,75.0,0.0
2000-01-07 03:00:00,75.0,0.0
2000-01-07 04:00:00,75.0,0.0
2000-01-07 05:00:00,75.0,0.0
2000-01-07 06:00:00,75.0,343.0880183813923
2000-01-07 07:00:00,75.0,404.3087785457145
2000-01-07 08:00:00,75.0,458.2018163520483
2000-01-07 09:00:00,75.0,460.86731424530876
2000-01-07 10:00:00,75.0,458.9072519735821
2000-01-07 11:00:00,75.0,507.0
2000-01-07 12:00:00,75.0,507.0
2000-01-07 13:00:00,75.0,442.36741576335777
2000-01-07 14:00:00,75.0,506.7828243615303
2000-01-07 15:00:00,75.0,506.545615234545
2000-01-07 16:00:00,75.0,507.0
2000-01-07 17:00:00,75.0,306.3703761086718
2000-01-07 18:00:00,75.0,230.39620486253105
2000-01-07 19:00:00,75.0,372.70641420196137
2000-01-07 20:00:00,75.0,223.52970935865727
2000-01-07 21:00:00,75.0,0.0
2000-01-07 22:00:00,75.0,0.0
2000-01-07 23:00:00,75.0,0.0
2000-01-08 00:00:00,75.0,0.0
2000-01-08 01:00:00,75.0,0.0
2000-01-08 02:00:00,75.0,0.0
2000-01-08 03:00:00,75.0,0.0
2000-01-08 04:00:00,75.0,0.0
2000-01-08 05:00:00,75.0,0.0
2000-01-08 06:00:00,75.0,358.6960340881839
2000-01-08 07:00:00,75.0,395.1387532281275
2000-01-08 08:00:00,75.0,452.1964726561174
2000-01-08 09:00:00,75.0,450.60832170954757
2000-01-08 10:00:00,75.0,451.8926706372875
2000-01-08 11:00:00,75.0,507.0
2000-01-08 12:00:00,75.00000000000001,564.3289437814855
2000-01-08 13:00:00,75.0,492.20728076137226
2000-01-08 14:00:00,75.0,507.0
2000-01-08 15:00:00,75.0,507.0
2000-01-08 16:00:00,75.0,507.0
2000-01-08 17:00:00,75.0,325.43831952153795
2000-01-08 18:00:00,75.0,217.90751291824463
2000-01-08 19:00:00,75.0,297.0458100254072
2000-01-08 20:00:00,75.0,292.86258894938373
2000-01-08 21:00:00,75.0,0.0
2000-01-08 22:00:00,75.0,0.0
2000-01-08 23:00:00,75.0,0.0
2000-01-09 00:00:00,75.0,0.0
2000-01-09 01:00:00,75.0,0.0
2000-01-09 02:00:00,75.0,0.0
2000-01-09 03:00:00,75.0,0.0
2000-01-09 04:00:00,75.0,0.0
2000-01-09 05:00:00,75.0,0.0
2000-01-09 06:00:00,75.0,455.6863002461
2000-01-09 07:00:00,75.0,453.73054145531046
2000-01-09 08:00:00,75.0,451.1294648847542
2000-01-09 09:00:00,75.0,507.0
2000-01-09 10:00:00,75.0,507.0
2000-01-09 11:00:00,75.0,507.0
2000-01-09 12:00:00,75.0,507.0
2000-01-09 13:00:00,75.0,507.0
2000-01-09 14:00:00,75.0,507.0
2000-01-09 15:00:00,75.0,507.0
2000-01-09 16:00:00,75.0,507.0
2000-01-09 17:00:00,75.0,507.0
2000-01-09 18:00:00,75.0,507.0
2000-01-09 19:00:00,75.0,305.5229079178375
2000-01-09 20:00:00,75.0,293.28675856106867
2000-01-09 21:00:00,75.0,0.0
2000-01-09 22:00:00,75.0,0.0
2000-01-09 23:00:00,75.0,0.0
2000-01-10 00:00:00,75.0,0.0
2000-01-10 01:00:00,75.0,0.0
2000-01-10 02:00:00,75.0,0.0
2000-01-10 03:00:00,75.0,0.0
2000-01-10 04:00:00,75.0,0.0
2000-01-10 05:00:00,75.0,0.0
2000-01-10 06:00:00,75.0,485.0149342126673
2000-01-10 07:00:00,75.0,478.4154141765588
2000-01-10 08:00:00,75.0,442.58967689715826
2000-01-10 09:00:00,75.0,507.0
2000-01-10 10:00:00,75.0,507.0
2000-01-10 11:00:00,75.0,507.0
2000-01-10 12:00:00,75.0,507.0
2000-01-10 13:00:00,75.0,507.0
2000-01-10 14:00:00,75.0,507.0
2000-01-10 15:00:00,75.0,507.0
2000-01-10 16:00:00,75.0,507.0
2000-01-10 17:00:00,75.0,507.0
2000-01-10 18:00:00,75.0,507.0
2000-01-10 19:00:00,75.0,345.94861199726586
2000-01-10 20:00:00,75.0,435.2650076029544
2000-01-10 21:00:00,75.0,0.0
2000-01-10 22:00:00,75.0,0.0
2000-01-10 23:00:00,75.0,0.0
2000-01-11 00:00:00,75.0,0.0
2000-01-11 01:00:00,75.0,0.0
2000-01-11 02:00:00,75.0,0.0
2000-01-11 03:00:00,75.0,0.0
2000-01-11 04:00:00,75.0,0.0
2000-01-11 05:00:00,75.0,0.0
2000-01-11 06:00:00,75.0,442.2917406850488
2000-01-11 07:00:00,75.0,460.2235979304413
2000-01-11 08:00:00,75.0,460.6504966819908
2000-01-11 09:00:00,75.0,507.0
2000-01-11 10:00:00,75.0,640.5382427918546
2000-01-11 11:00:00,74.99999999999999,624.4139805861075
2000-01-11 12:00:00,75.0,570.6409982109107
2000-01-11 13:00:00,75.0,507.0
2000-01-11 14:00:00,75.0,507.0
2000-01-11 15:00:00,75.0,507.0
2000-01-11 16:00:00,75.0,507.0
2000-01-11 17:00:00,75.0,502.1691109153397
2000-01-11 18:00:00,75.0,455.76275477412116
2000-01-11 19:00:00,75.0,270.42809600769675
2000-01-11 20:00:00,75.0,222.01959567334504
2000-01-11 21:00:00,75.0,0.0
2000-01-11 22:00:00,75.0,0.0
2000-01-11 23:00:00,75.0,0.0
2000-01-12 00:00:00,75.0,0.0
2000-01-12 01:00:00,75.0,0.0
2000-01-12 02:00:00,75.0,0.0
2000-01-12 03:00:00,75.0,0.0
2000-01-12 04:00:00,75.0,0.0
2000-01-12 05:00:00,75.0,0.0
2000-01-12 06:00:00,75.0,346.14049455030846
2000-01-12 07:00:00,75.0,360.58656900284626
2000-01-12 08:00:00,75.0,371.0539935540055
2000-01-12 09:00:00,75.0,507.0
2000-01-12 10:00:00,75.0,550.1804597066943
2000-01-12 11:00:00,75.0,473.6960563281397
2000-01-12 12:00:00,75.0,444.5512699784936
2000-01-12 13:00:00,75.0,466.1476463614214
2000-01-12 14:00:00,75.0,450.4467421541748
2000-01-12 15:00:00,75.0,464.3600227689011
2000-01-12 16:00:00,75.0,457.5670649745854
2000-01-12 17:00:00,75.0,454.9338252254144
2000-01-12 18:00:00,75.0,442.21194613205927
2000-01-12 19:00:00,75.0,232.5206987669813
2000-01-12 20:00:00,75.0,198.48763306432377
2000-01-12 21:00:00,75.0,0.0
2000-01-12 22:00:00,75.0,0.0
2000-01-12 23:00:00,75.0,0.0
2000-01-13 00:00:00,75.0,0.0
2000-01-13 01:00:00,75.0,0.0
2000-01-13 02:00:00,75.0,0.0
2000-01-13 03:00:00,75.0,0.0
2000-01-13 04:00:00,75.0,0.0
2000-01-13 05:00:00,75.0,0.0
2000-01-13 06:00:00,75.0,342.66022146525364
2000-01-13 07:00:00,75.0,342.53290606760896
2000-01-13 08:00:00,75.0,310.6735270920997
2000-01-13 09:00:00,75.0,507.0
2000-01-13 10:00:00,74.99999999999999,551.5644707589802
2000-01-13 11:00:00,75.0,492.9442800850588
2000-01-13 12:00:00,75.0,489.15437334678757
2000-01-13 13:00:00,75.0,463.442062770464
2000-01-13 14:00:00,75.0,485.601308058518
2000-01-13 15:00:00,75.0,507.0
2000-01-13 16:00:00,75.0,507.0
2000-01-13 17:00:00,75.0,507.0
2000-01-13 18:00:00,75.0,447.28752654863797
2000-01-13 19:00:00,75.0,243.89903719391393
2000-01-13 20:00:00,75.0,230.19785415791037
2000-01-13 21:00:00,75.0,0.0
2000-01-13 22:00:00,75.0,0.0
2000-01-13 23:00:00,75.0,0.0
2000-01-14 00:00:00,75.0,0.0
2000-01-14 01:00:00,75.0,0.0
2000-01-14 02:00:00,75.0,0.0
2000-01-14 03:00:00,75.0,0.0
2000-01-14 04:00:00,75.0,0.0
2000-01-14 05:00:00,75.0,0.0
2000-01-14 06:00:00,75.0,342.91602238916073
2000-01-14 07:00:00,75.0,344.7617682304252
2000-01-14 08:00:00,75.0,375.3891982019991
2000-01-14 09:00:00,75.0,466.49778540036976
2000-01-14 10:00:00,75.0,446.81938698777975
2000-01-14 11:00:00,75.0,459.4517838393412
2000-01-14 12:00:00,75.0,455.5399326235037
2000-01-14 13:00:00,75.0,441.9305311604923
2000-01-14 14:00:00,75.0,451.72310815694425
2000-01-14 15:00:00,75.0,445.490469945298
2000-01-14 16:00:00,75.0,485.5502601526089
2000-01-14 17:00:00,75.0,269.9070538408486
2000-01-14 18:00:00,75.0,228.57852947607157
2000-01-14 19:00:00,75.0,222.50867910536877
2000-01-14 20:00:00,75.0,235.16145287539538
2000-01-14 21:00:00,75.0,0.0
2000-01-14 22:00:00,75.0,0.0
2000-01-14 23:00:00,75.0,0.0
2000-01-15 00:00:00,75.0,0.0
2000-01-15 01:00:00,75.0,0.0
2000-01-15 02:00:00,75.0,0.0
2000-01-15 03:00:00,75.0,0.0
2000-01-15 04:00:00,75.0,0.0
2000-01-15 05:00:00,75.0,0.0
2000-01-15 06:00:00,75.0,377.8229546292498
2000-01-15 07:00:00,75.0,435.6185232911297
2000-01-15 08:00:00,75.0,452.0549599689758
2000-01-15 09:00:00,75.0,441.4255319453513
