Date/Time,DistrictHeating:Facility [J](Hourly) 
 01/08  07:00:00,7264800.0 
 01/08  08:00:00,7380000.0 
 01/08  09:00:00,7466400.0 
 01/08  10:00:00,7452000.0 
 01/08  11:00:00,7430400.0 
 01/08  12:00:00,7452000.0 
 01/08  13:00:00,7502400.0 
 01/08  14:00:00,7466400.0 
 01/08  15:00:00,7459200.0 
 01/08  16:00:00,7423200.0 
 01/08  17:00:00,5725877.093921901 
 01/08  18:00:00,6211187.938471065 
 01/08  19:00:00,6389815.272636637 
 01/08  20:00:00,5793259.848607234 
 01/08  21:00:00,216000.0 
 01/08  22:00:00,244800.0 
 01/08  23:00:00,187200.0 
 01/08  24:00:00,86400.0 
 01/09  01:00:00,43200.0 
 01/09  02:00:00,43200.0 
 01/09  03:00:00,43200.0 
 01/09  04:00:00,43200.0 
 01/09  05:00:00,43200.0 
 01/09  06:00:00,6679508.76242299 
 01/09  07:00:00,7401600.0 
 01/09  08:00:00,7381352.2156156 
 01/09  09:00:00,7502400.000000002 
 01/09  10:00:00,7430400.0 
 01/09  11:00:00,7394400.0 
 01/09  12:00:00,7437600.0 
 01/09  13:00:00,7495200.0 
 01/09  14:00:00,7452000.0 
 01/09  15:00:00,7444800.0 
 01/09  16:00:00,7408800.0 
 01/09  17:00:00,7430400.0 
 01/09  18:00:00,7560000.0 
 01/09  19:00:00,5709179.268462589 
 01/09  20:00:00,6243798.154154298 
 01/09  21:00:00,259200.0 
 01/09  22:00:00,324000.0 
 01/09  23:00:00,216000.0 
 01/09  24:00:00,57600.0 
 01/10  01:00:00,43200.0 
 01/10  02:00:00,43200.0 
 01/10  03:00:00,43200.0 
 01/10  04:00:00,43200.0 
 01/10  05:00:00,43200.0 
 01/10  06:00:00,6691734.4515991429 
 01/10  07:00:00,7401600.0 
 01/10  08:00:00,7063652.996206222 
 01/10  09:00:00,7502400.0 
 01/10  10:00:00,7430400.0 
 01/10  11:00:00,7394400.0 
 01/10  12:00:00,7437600.0 
 01/10  13:00:00,7495200.0 
 01/10  14:00:00,7452000.0 
 01/10  15:00:00,7444800.0 
 01/10  16:00:00,7408800.0 
 01/10  17:00:00,7430400.0 
 01/10  18:00:00,7560000.0 
 01/10  19:00:00,5146916.198287865 
 01/10  20:00:00,4842041.333697193 
 01/10  21:00:00,259200.0 
 01/10  22:00:00,324000.0 
 01/10  23:00:00,216000.0 
 01/10  24:00:00,57600.0 
 01/11  01:00:00,43200.0 
 01/11  02:00:00,43200.0 
 01/11  03:00:00,43200.0 
 01/11  04:00:00,43200.0 
 01/11  05:00:00,43200.0 
 01/11  06:00:00,6109720.84589077 
 01/11  07:00:00,7053696.047627012 
 01/11  08:00:00,6532764.66251251 
 01/11  09:00:00,7502400.0 
 01/11  10:00:00,7430400.0 
 01/11  11:00:00,7394400.0 
 01/11  12:00:00,7437600.0 
 01/11  13:00:00,7495200.0 
 01/11  14:00:00,7452000.0 
 01/11  15:00:00,7444800.0 
 01/11  16:00:00,7408800.0 
 01/11  17:00:00,7430400.0 
 01/11  18:00:00,7560000.0 
 01/11  19:00:00,4740996.189273734 
 01/11  20:00:00,4754948.85298815 
 01/11  21:00:00,259200.0 
 01/11  22:00:00,324000.0 
 01/11  23:00:00,216000.0 
 01/11  24:00:00,57600.0 
 01/12  01:00:00,43200.0 
 01/12  02:00:00,43200.0 
 01/12  03:00:00,43200.0 
 01/12  04:00:00,43200.0 
 01/12  05:00:00,43200.0 
 01/12  06:00:00,6147711.658433477 
 01/12  07:00:00,7159367.198783162 
 01/12  08:00:00,6962375.9448454049 
 01/12  09:00:00,7502400.000000002 
 01/12  10:00:00,7430400.0 
 01/12  11:00:00,7394400.0 
 01/12  12:00:00,7437600.0 
 01/12  13:00:00,7495200.0 
 01/12  14:00:00,7452000.0 
 01/12  15:00:00,7444800.0 
 01/12  16:00:00,7408800.0 
 01/12  17:00:00,7430400.0 
 01/12  18:00:00,7560000.0 
 01/12  19:00:00,5609925.171335883 
 01/12  20:00:00,5444069.087771442 
 01/12  21:00:00,259200.0 
 01/12  22:00:00,324000.0 
 01/12  23:00:00,216000.0 
 01/12  24:00:00,57600.0 
 01/13  01:00:00,43200.0 
 01/13  02:00:00,43200.0 
 01/13  03:00:00,43200.0 
 01/13  04:00:00,43200.0 
 01/13  05:00:00,43200.0 
 01/13  06:00:00,6422921.207527253 
 01/13  07:00:00,7401600.0 
 01/13  08:00:00,6887945.705677744 
 01/13  09:00:00,7502400.0 
 01/13  10:00:00,7430400.0 
 01/13  11:00:00,7394400.0 
 01/13  12:00:00,7437600.0 
 01/13  13:00:00,7495200.0 
 01/13  14:00:00,7452000.0 
 01/13  15:00:00,7444800.0 
 01/13  16:00:00,7408800.0 
 01/13  17:00:00,7430400.0 
 01/13  18:00:00,7560000.0 
 01/13  19:00:00,5354874.2640594369 
 01/13  20:00:00,5354443.759962659 
 01/13  21:00:00,259200.0 
 01/13  22:00:00,324000.0 
 01/13  23:00:00,216000.0 
 01/13  24:00:00,57600.0 
 01/14  01:00:00,43200.0 
 01/14  02:00:00,43200.0 
 01/14  03:00:00,43200.0 
 01/14  04:00:00,43200.0 
 01/14  05:00:00,43200.0 
 01/14  06:00:00,7020887.3008855399 
 01/14  07:00:00,7308000.0 
 01/14  08:00:00,7430400.0 
 01/14  09:00:00,7509600.0 
 01/14  10:00:00,7480800.0 
 01/14  11:00:00,7444800.000000002 
 01/14  12:00:00,7459200.0 
 01/14  13:00:00,7524000.0 
 01/14  14:00:00,7480800.0 
 01/14  15:00:00,7480800.0 
 01/14  16:00:00,7437600.0 
 01/14  17:00:00,6474927.06636173 
 01/14  18:00:00,7428936.263820546 
 01/14  19:00:00,7545600.0 
 01/14  20:00:00,6607369.976759571 
 01/14  21:00:00,223200.0 
 01/14  22:00:00,223200.0 
 01/14  23:00:00,201600.00000000004 
 01/14  24:00:00,72000.0 
 01/15  01:00:00,43200.0 
 01/15  02:00:00,43200.0 
 01/15  03:00:00,43200.0 
 01/15  04:00:00,43200.0 
 01/15  05:00:00,43200.0 
 01/15  06:00:00,7243200.000000001 
 01/15  07:00:00,7264800.0 
 01/15  08:00:00,7380000.0 
 01/15  09:00:00,7466400.0 
 01/15  10:00:00,7452000.0 
 01/15  11:00:00,7430400.0 
 01/15  12:00:00,7452000.0 
 01/15  13:00:00,7502400.0 
 01/15  14:00:00,7466400.0 
 01/15  15:00:00,7459200.0 
 01/15  16:00:00,7423200.0 
 01/15  17:00:00,7106323.033458542 
 01/15  18:00:00,7524000.0 
 01/15  19:00:00,7502400.0 
 01/15  20:00:00,7452000.0 
 01/15  21:00:00,216000.0 
 01/15  22:00:00,244800.0 
 01/15  23:00:00,187200.0 
 01/15  24:00:00,86400.0 
 01/16  01:00:00,43200.0 
 01/16  02:00:00,43200.0 
 01/16  03:00:00,43200.0 
 01/16  04:00:00,43200.0 
 01/16  05:00:00,43200.0 
 01/16  06:00:00,7243200.0 
 01/16  07:00:00,7401600.0 
 01/16  08:00:00,7552800.0 
 01/16  09:00:00,7502400.0 
 01/16  10:00:00,7430400.0 
 01/16  11:00:00,7394400.0 
 01/16  12:00:00,7437600.0 
 01/16  13:00:00,7495200.0 
 01/16  14:00:00,7452000.0 
 01/16  15:00:00,7444800.0 
 01/16  16:00:00,7408800.0 
 01/16  17:00:00,7430400.0 
 01/16  18:00:00,7560000.0 
 01/16  19:00:00,6174331.756974318 
 01/16  20:00:00,7488000.0 
 01/16  21:00:00,259200.0 
 01/16  22:00:00,324000.0 
 01/16  23:00:00,216000.0 
 01/16  24:00:00,57600.0 
 01/17  01:00:00,43200.0 
 01/17  02:00:00,43200.0 
 01/17  03:00:00,43200.0 
 01/17  04:00:00,43200.0 
 01/17  05:00:00,43200.0 
 01/17  06:00:00,7243200.000000001 
 01/17  07:00:00,7401600.0 
 01/17  08:00:00,7552800.0 
 01/17  09:00:00,7502400.000000002 
 01/17  10:00:00,7430400.0 
 01/17  11:00:00,7394400.0 
 01/17  12:00:00,7437600.0 
 01/17  13:00:00,7495200.0 
 01/17  14:00:00,7452000.0 
 01/17  15:00:00,7444800.0 
 01/17  16:00:00,7408800.0 
 01/17  17:00:00,7430400.0 
 01/17  18:00:00,7560000.0 
 01/17  19:00:00,6163283.129485982 
 01/17  20:00:00,7488000.0 
 01/17  21:00:00,259200.0 
 01/17  22:00:00,324000.0 
 01/17  23:00:00,216000.0 
 01/17  24:00:00,57600.0 
 01/18  01:00:00,43200.0 
 01/18  02:00:00,43200.0 
 01/18  03:00:00,43200.0 
 01/18  04:00:00,43200.0 
 01/18  05:00:00,43200.0 
 01/18  06:00:00,7213007.700348716 
 01/18  07:00:00,7401600.0 
 01/18  08:00:00,7552800.0 
 01/18  09:00:00,7502400.0 
 01/18  10:00:00,7430400.0 
 01/18  11:00:00,7394400.0 
 01/18  12:00:00,7437600.0 
 01/18  13:00:00,7495200.0 
 01/18  14:00:00,7452000.0 
 01/18  15:00:00,7444800.0 
 01/18  16:00:00,7408800.0 
 01/18  17:00:00,7430400.0 
